Time,Bujumbura,Bubanza,Cibitoke,Isale,Muramvya,Kayanza,Mwaro,Rumonge,Bururi,Rutana,Makamba,Gitega,Karuzi,Ruyigi,Cankuzo,Muyinga,Kirundo,Ngozi,Gashoho,Gitega-Ruyigi,Makebuko,Commune of Mabanda,Mahama,Nduta,Nyarugusu,Nakivale,Kigali,Lusenda
169,5582,2271,1838,12796,3980,3321,3172,5414,4249,4614,2666,12556,2791,4796,2082,3965,1373,3285,3849,8998,6280,1406,6633,11880,19421,6193,8244,51864
170,5481,2268,1773,12577,3962,3307,3185,5378,4285,4617,2632,12738,2802,4834,2079,3986,1344,3326,3865,8917,6228,1372,6683,11967,19501,6223,8325,51866
171,5356,2243,1691,12377,3930,3231,3192,5365,4338,4520,2683,12721,2770,4815,2054,4088,1373,3429,3823,8986,6250,1348,6734,12049,19576,6261,8391,51929
172,5324,2182,1687,12180,3951,3280,3180,5292,4371,4526,2607,12713,2804,4832,2093,4067,1394,3365,3843,8990,6263,1346,6798,12147,19647,6281,8479,51977
173,5210,2130,1639,12197,3872,3167,3232,5270,4326,4578,2611,12603,2832,4772,2096,4136,1417,3463,3802,9031,6387,1355,6824,12230,19710,6295,8560,51970
174,5248,2103,1588,12012,3833,3170,3108,5269,4311,4653,2587,12632,2887,4906,2073,4104,1408,3451,3876,8928,6385,1334,6861,12333,19783,6340,8631,52014
175,5073,2128,1578,11907,3825,3110,3136,5235,4291,4672,2596,12643,2949,4981,2076,4024,1426,3469,3948,8848,6412,1318,6912,12394,19871,6404,8682,52099
176,5083,2111,1507,11717,3790,3172,3085,5268,4215,4619,2570,12546,2887,5039,2084,4067,1475,3469,3897,9022,6473,1328,6945,12463,19938,6434,8748,52110
177,5103,2027,1474,11577,3719,3172,3057,5177,4256,4569,2639,12555,2912,5133,2088,4010,1434,3433,3988,9064,6389,1381,7004,12542,19979,6467,8845,52123
178,4885,2024,1497,11399,3769,3156,3056,5124,4280,4612,2663,12550,2846,5056,2125,4100,1471,3458,3919,9063,6453,1369,7029,12648,20039,6520,8901,52160
179,4907,2132,1563,11742,3733,3090,3116,5108,4279,4678,2648,12518,2884,5002,2075,4063,1503,3540,3928,9197,6437,1343,7079,12741,20128,6554,8953,52217
180,5089,2380,1813,13185,3773,3109,3288,5360,4233,4697,2581,12501,2906,5025,2124,4051,1539,3483,3946,9198,6428,1431,7123,12867,20204,6577,9022,52596
181,5584,2634,2046,14262,3836,3158,3449,5606,4252,4694,2549,12371,2976,5020,2094,4045,1554,3412,3955,9225,6563,1489,7191,12954,20295,6633,9105,52948
182,5954,2880,2290,15260,3926,3200,3673,5717,4342,4639,2576,12545,3009,5062,2103,4096,1487,3420,3995,9152,6546,1581,7234,13016,20384,6667,9197,53320
183,6395,3047,2447,16157,4127,3320,3801,5889,4390,4615,2630,12695,2965,5051,2084,4094,1537,3402,3991,9221,6522,1675,7266,13107,20506,6693,9264,53751
184,6855,2838,2296,15429,4266,3356,3656,5644,4513,4659,2674,12904,2953,5082,2079,4155,1538,3458,4014,9072,6487,1686,7291,13194,20588,6732,9321,53919
185,6450,2821,2221,15127,4264,3366,3611,5677,4462,4695,2661,13053,3008,5103,2128,4104,1547,3531,4015,9169,6451,1655,7342,13270,20725,6778,9391,54051
186,6299,2736,2122,14677,4447,3401,3572,5571,4568,4744,2672,13103,3016,5131,2075,4063,1487,3553,4080,9184,6533,1654,7397,13367,20829,6816,9497,54237
187,6203,2631,2089,14548,4409,3430,3585,5534,4606,4755,2687,13182,2981,5067,2079,4141,1516,3603,4067,9231,6598,1621,7440,13448,20958,6862,9568,54382
188,6015,2592,2037,14401,4414,3446,3498,5561,4539,4780,2676,13186,2988,5135,2073,4156,1497,3616,4056,9195,6761,1553,7485,13515,21082,6904,9650,54461
189,6077,2508,1949,13997,4386,3446,3428,5463,4615,4810,2663,13429,2970,5141,2100,4186,1524,3711,3988,9171,6691,1545,7547,13630,21193,6951,9714,54511
190,5911,2409,1845,13741,4372,3493,3359,5534,4548,4838,2653,13500,3004,5132,2152,4035,1530,3736,4151,9345,6646,1522,7582,13701,21321,6982,9768,54606
191,5697,2392,1812,13590,4321,3522,3437,5572,4508,4821,2697,13267,2972,5208,2129,4067,1606,3637,4224,9458,6768,1530,7626,13762,21390,7012,9805,54658
192,5671,2489,1910,14191,4213,3508,3554,5669,4457,4827,2756,13317,2979,5150,2121,4109,1595,3668,4196,9564,6847,1555,7679,13856,21493,7053,9898,54909
193,6102,2582,1950,14340,4245,3541,3638,5606,4519,4856,2818,13377,2971,5147,2158,4165,1570,3675,4180,9573,6834,1606,7739,13948,21571,7111,9990,55168
194,6204,2474,1925,13829,4246,3466,3555,5584,4503,4870,2804,13479,2983,5187,2135,4157,1583,3693,4221,9683,6863,1604,7807,14012,21652,7164,10069,55237
195,5860,2464,1906,13717,4222,3412,3523,5628,4451,4971,2749,13488,3024,5201,2178,4166,1576,3757,4255,9668,6871,1567,7844,14106,21772,7222,10145,55353
196,5813,2476,1793,13409,4180,3424,3471,5512,4534,4936,2784,13770,3025,5258,2156,4149,1623,3731,4241,9577,6865,1584,7880,14172,21854,7277,10184,55456
197,5698,2458,1755,13176,4234,3491,3398,5535,4518,4884,2788,13638,2981,5249,2180,4241,1641,3701,4265,9676,6965,1575,7931,14235,21932,7321,10221,55485
198,5807,2339,1752,12860,4177,3466,3416,5550,4456,4893,2805,13633,2981,5285,2185,4253,1624,3793,4227,9718,6936,1604,7971,14329,21984,7364,10292,55510
199,5575,2300,1762,12741,4174,3446,3434,5573,4481,4896,2778,13490,2937,5324,2215,4276,1620,3774,4302,9918,6886,1603,8005,14402,22049,7422,10363,55613
200,5523,2297,1768,12547,4086,3474,3405,5546,4431,4960,2804,13744,2994,5333,2203,4307,1628,3776,4313,9835,6764,1553,8048,14479,22140,7469,10449,55632
201,5483,2296,1753,12837,4102,3393,3367,5472,4542,4968,2738,13698,3033,5346,2219,4362,1638,3838,4346,9786,6893,1516,8097,14559,22221,7496,10517,55765
202,5555,2308,1769,12959,4061,3347,3422,5538,4457,4980,2790,13647,3060,5410,2238,4391,1698,3832,4284,9814,6952,1519,8137,14617,22323,7505,10592,55849
203,5585,2253,1730,12775,4022,3423,3309,5556,4450,4971,2710,13681,3080,5420,2234,4461,1643,3804,4324,9723,7049,1489,8196,14682,22421,7573,10633,55863
204,5453,2197,1676,12694,3951,3443,3241,5515,4444,4981,2709,13693,3032,5506,2182,4518,1703,3752,4332,9842,6988,1481,8252,14763,22506,7638,10678,55896
205,5399,2213,1584,12493,4014,3414,3226,5401,4533,4987,2761,13652,3105,5408,2283,4409,1715,3764,4334,9879,7029,1472,8301,14829,22574,7695,10735,55863
206,5365,2162,1603,12234,4039,3395,3214,5341,4552,4970,2792,13639,3180,5408,2275,4421,1687,3776,4365,9805,7034,1457,8354,14919,22633,7735,10833,55890
207,5310,2172,1565,12147,4059,3392,3254,5328,4518,5022,2763,13744,3188,5451,2282,4394,1641,3704,4461,9705,6967,1447,8377,14987,22702,7798,10901,55898
208,5240,2181,1574,12121,3985,3390,3277,5362,4426,4912,2871,13683,3210,5375,2327,4378,1644,3740,4397,9732,7027,1441,8414,15085,22757,7831,11005,55865
209,5256,2242,1646,12719,3901,3342,3347,5476,4383,4889,2878,13507,3211,5430,2238,4445,1632,3743,4386,9907,7055,1480,8474,15166,22817,7860,11102,55956
210,5500,2216,1597,12442,3909,3353,3358,5405,4412,4912,2853,13453,3148,5473,2254,4556,1588,3703,4345,9943,6990,1423,8507,15234,22927,7912,11189,55943
211,5437,2162,1587,12359,3894,3321,3382,5368,4348,4980,2826,13629,3203,5438,2262,4569,1610,3677,4401,9755,6982,1409,8551,15319,22997,7965,11235,55936
212,5382,2140,1585,12168,3933,3372,3340,5356,4360,4973,2823,13542,3208,5393,2290,4497,1617,3656,4467,9866,6961,1433,8600,15413,23080,8007,11295,55902
213,5334,2138,1589,12100,3999,3320,3263,5399,4310,4938,2797,13438,3228,5503,2236,4570,1598,3665,4480,9756,7051,1413,8637,15491,23153,8072,11385,55853
214,5291,2293,1706,13090,3985,3251,3381,5460,4298,5005,2798,13472,3342,5532,2300,4512,1642,3693,4383,9713,6960,1526,8712,15607,23188,8116,11448,56069
215,5543,2294,1690,12979,4009,3265,3380,5437,4349,4994,2807,13546,3328,5529,2300,4570,1644,3700,4357,9773,6849,1479,8732,15675,23290,8160,11508,56123
216,5550,2260,1648,12866,3995,3228,3375,5444,4396,4870,2831,13581,3273,5518,2416,4564,1628,3718,4452,9704,6919,1488,8779,15714,23365,8227,11544,56144
217,5533,2192,1615,12779,3962,3316,3376,5385,4395,4878,2829,13611,3299,5561,2404,4599,1716,3637,4370,9737,6936,1524,8802,15779,23401,8254,11591,56203
218,5452,2175,1658,12623,4010,3359,3358,5283,4394,4940,2795,13743,3346,5567,2363,4655,1673,3590,4389,9639,6958,1552,8849,15837,23439,8311,11660,56253
219,5262,2173,1664,12630,3983,3306,3373,5263,4373,4919,2844,13647,3331,5613,2392,4661,1716,3675,4295,9637,6993,1509,8895,15939,23566,8330,11742,56327
220,5405,2136,1633,12468,4009,3288,3357,5287,4330,4944,2821,13615,3320,5586,2395,4652,1679,3695,4322,9684,7007,1474,8935,16025,23650,8394,11810,56324
221,5314,2116,1651,12308,3974,3318,3373,5291,4340,4903,2799,13450,3284,5658,2394,4630,1704,3682,4339,9838,7073,1421,8961,16070,23734,8414,11886,56320
222,5403,2056,1596,12129,3984,3274,3259,5172,4362,4984,2779,13603,3252,5672,2334,4665,1658,3696,4400,9892,7028,1398,9004,16110,23776,8471,11950,56338
223,5236,2131,1657,12390,3915,3201,3400,5316,4281,4969,2806,13495,3248,5693,2353,4625,1672,3775,4424,9960,7054,1462,9045,16178,23813,8501,12022,56383
224,5362,2171,1600,12315,3844,3279,3382,5249,4330,4907,2790,13570,3319,5687,2320,4636,1739,3731,4359,9884,7065,1508,9086,16254,23831,8529,12087,56396
225,5120,2170,1599,12328,3861,3337,3371,5219,4418,4894,2773,13632,3345,5640,2311,4640,1726,3721,4368,9906,7019,1475,9145,16341,23913,8582,12152,56410
226,5397,2124,1650,11987,3877,3333,3333,5257,4386,4892,2763,13640,3383,5614,2358,4601,1735,3721,4374,9968,6901,1470,9182,16428,23959,8624,12225,56420
227,5321,2154,1676,12047,3810,3340,3329,5218,4370,4923,2797,13647,3310,5688,2424,4642,1733,3726,4340,10031,6826,1515,9242,16454,24007,8668,12313,56471
228,5345,2261,1697,12306,3865,3295,3325,5245,4391,4911,2783,13593,3274,5731,2367,4678,1683,3735,4453,10047,6851,1545,9307,16525,24048,8709,12388,56537
229,5321,2274,1680,12414,3912,3274,3386,5247,4461,4825,2809,13485,3203,5815,2344,4683,1666,3712,4563,10033,6929,1564,9361,16598,24088,8749,12464,56630
230,5364,2271,1755,12854,3975,3292,3384,5315,4376,4925,2756,13599,3238,5685,2405,4763,1712,3712,4438,9957,6902,1557,9412,16672,24179,8776,12541,56728
231,5448,2246,1719,12662,3916,3302,3361,5350,4348,4920,2742,13708,3264,5739,2365,4829,1738,3717,4430,9959,6890,1510,9439,16698,24276,8811,12576,56737
232,5527,2229,1709,12490,3927,3326,3385,5296,4314,4996,2719,13603,3362,5782,2364,4852,1722,3696,4406,9844,6949,1493,9478,16757,24340,8864,12647,56780
233,5363,2182,1720,12466,3947,3327,3405,5377,4291,4970,2726,13506,3375,5641,2384,4797,1691,3673,4458,9998,6994,1494,9531,16875,24418,8909,12700,56796
234,5418,2184,1663,12241,4045,3415,3328,5379,4339,4872,2771,13496,3358,5592,2434,4792,1730,3585,4466,10080,7010,1474,9563,16923,24504,8949,12769,56815
235,5417,2182,1664,12182,3954,3331,3328,5356,4330,4866,2738,13517,3348,5745,2392,4839,1720,3637,4519,10004,6984,1447,9620,17031,24577,8973,12846,56829
236,5388,2231,1678,12200,4010,3359,3378,5321,4437,4832,2701,13672,3342,5692,2400,4835,1718,3631,4535,9946,6911,1453,9656,17124,24656,8990,12909,56888
237,5365,2213,1714,12335,4045,3316,3378,5390,4436,4863,2663,13561,3366,5584,2500,4713,1754,3660,4524,10018,7014,1486,9743,17185,24728,9023,12974,56962
238,5262,2247,1687,12314,4049,3418,3360,5387,4351,4856,2673,13410,3412,5625,2478,4725,1790,3625,4437,10065,7125,1511,9789,17238,24759,9063,13030,57001
239,5309,2178,1637,12408,3951,3392,3311,5298,4433,4779,2743,13693,3384,5625,2384,4748,1804,3647,4424,10010,7059,1453,9842,17317,24867,9103,13115,56947
240,5424,2195,1632,12232,3898,3316,3314,5270,4346,4883,2765,13749,3308,5704,2375,4785,1799,3612,4512,10074,6956,1496,9880,17371,24859,9159,13182,56939
241,5337,2189,1599,12282,3939,3307,3282,5212,4350,4905,2768,13780,3360,5615,2404,4795,1827,3645,4423,10070,6972,1469,9926,17464,24924,9216,13242,57002
242,5353,2130,1550,12231,3912,3294,3247,5217,4335,4842,2831,13832,3330,5635,2421,4726,1809,3660,4508,10102,6930,1497,9968,17534,24975,9236,13310,57033
243,5268,2167,1583,12276,3905,3247,3251,5281,4312,4778,2832,13871,3345,5684,2401,4703,1816,3673,4523,10040,6927,1553,10001,17609,24967,9273,13387,57081
244,5353,2218,1610,12014,3910,3282,3307,5247,4340,4869,2797,13818,3293,5717,2405,4615,1850,3708,4503,10040,6980,1556,10043,17696,25010,9327,13460,57115
245,5223,2210,1641,12079,3925,3309,3374,5253,4368,4982,2670,13837,3306,5832,2332,4792,1850,3673,4393,10018,6905,1537,10043,17763,25098,9347,13534,57118
246,5369,2171,1662,12085,3912,3279,3359,5273,4360,4997,2648,13750,3295,5756,2411,4749,1821,3681,4509,10143,6915,1545,10056,17814,25149,9373,13569,57061
247,5324,2184,1679,12028,3939,3349,3298,5226,4469,4885,2675,13869,3322,5758,2402,4782,1808,3689,4406,10048,6976,1522,10098,17924,25224,9410,13650,57068
248,5340,2146,1654,11830,4006,3255,3266,5248,4436,4871,2694,13860,3268,5765,2368,4790,1765,3727,4470,10059,7007,1506,10166,17988,25273,9458,13716,57080
249,5207,2194,1689,12189,3925,3240,3370,5311,4438,4857,2668,13904,3261,5755,2444,4797,1794,3796,4444,10022,6943,1551,10203,18040,25296,9469,13768,57145
250,5224,2249,1670,12150,4008,3289,3371,5313,4358,4928,2707,13843,3271,5711,2443,4833,1838,3719,4498,10117,6919,1574,10226,18063,25332,9497,13825,57268
251,5314,2263,1662,11990,4011,3346,3391,5343,4354,4888,2714,13848,3252,5693,2486,4817,1862,3679,4566,10118,6922,1551,10241,18142,25425,9498,13881,57267
252,5309,2273,1681,12032,3964,3360,3383,5247,4423,4855,2750,13703,3277,5772,2520,4796,1830,3700,4601,10156,6938,1513,10280,18185,25506,9536,13959,57255
253,5326,2228,1662,12047,3924,3363,3322,5387,4407,4760,2737,13690,3333,5834,2494,4829,1821,3709,4602,10133,7047,1501,10307,18232,25547,9542,14035,57260
254,5369,2198,1638,12004,3874,3386,3305,5369,4456,4716,2751,13766,3330,5792,2494,4774,1803,3770,4633,10174,7007,1563,10329,18302,25547,9588,14108,57308
255,5240,2156,1644,11844,3880,3405,3304,5404,4436,4727,2698,13784,3351,5792,2439,4787,1774,3750,4740,10093,7121,1531,10375,18370,25638,9616,14174,57300
256,5242,2163,1642,11948,3860,3382,3209,5388,4423,4756,2689,13799,3377,5749,2425,4842,1817,3820,4676,10148,7133,1498,10397,18442,25733,9648,14226,57276
257,5221,2113,1675,11903,3910,3344,3287,5494,4345,4854,2693,13650,3361,5731,2431,4785,1851,3820,4683,10158,7140,1490,10473,18513,25799,9722,14279,57318
258,5218,2095,1569,11967,3863,3380,3246,5429,4422,4839,2719,13773,3416,5645,2436,4806,1839,3802,4672,10085,7140,1506,10519,18576,25854,9769,14346,57298
259,5172,2035,1528,12001,3869,3435,3179,5437,4427,4906,2694,13709,3424,5643,2419,4864,1823,3739,4653,10096,7150,1471,10549,18620,25921,9814,14460,57318
260,5160,2033,1504,11949,3847,3386,3172,5417,4371,4858,2747,13870,3379,5607,2432,4941,1840,3810,4622,10003,7147,1508,10581,18675,25961,9854,14522,57287
261,5273,2087,1472,11683,3956,3380,3190,5295,4428,4887,2771,13850,3388,5657,2476,4925,1826,3847,4575,10016,7024,1500,10635,18706,26037,9919,14577,57230
262,5137,2100,1478,11668,3937,3422,3237,5263,4457,4892,2791,13756,3301,5577,2522,4895,1850,3849,4546,10151,7045,1496,10685,18772,26088,9931,14669,57197
263,5150,2144,1567,11838,3928,3387,3209,5287,4400,4877,2773,13711,3379,5680,2491,4868,1855,3853,4618,10157,7065,1530,10691,18800,26116,9991,14722,57226
264,5240,2173,1625,11981,3835,3359,3223,5399,4339,4930,2739,13719,3398,5700,2535,4915,1872,3849,4576,10087,7103,1528,10716,18824,26146,10042,14800,57186
265,5257,2130,1608,11995,3891,3352,3121,5291,4376,4859,2742,13674,3371,5805,2458,4868,1919,3812,4636,10221,7175,1531,10708,18857,26202,10084,14859,57214
266,5207,2098,1592,11944,3882,3282,3161,5221,4413,4807,2752,13704,3408,5751,2435,4892,1878,3889,4639,10183,7250,1575,10765,18938,26258,10131,14960,57178
267,5201,2079,1561,11904,3903,3316,3132,5252,4385,4903,2695,13762,3385,5795,2446,4955,1859,3918,4582,10194,7146,1542,10782,18971,26317,10180,15020,57185
268,5144,2074,1566,11885,3917,3367,3104,5246,4443,4954,2699,13672,3306,5780,2436,5018,1886,3788,4650,10292,7075,1545,10822,19037,26351,10196,15087,57207
269,5187,2078,1567,11870,3928,3350,3132,5211,4369,5003,2700,13784,3329,5827,2430,4951,1909,3796,4719,10160,7056,1527,10851,19036,26424,10232,15147,57151
270,5188,2053,1555,11661,3903,3327,3211,5179,4363,4923,2768,13791,3383,5711,2446,4936,1927,3840,4735,10042,7178,1533,10907,19128,26462,10287,15201,57162
271,5069,2055,1541,11630,3830,3307,3203,5208,4343,4881,2776,13777,3401,5765,2439,4930,1950,3851,4716,10034,7202,1543,10947,19187,26487,10297,15270,57161
272,5193,2209,1645,12273,3871,3287,3371,5294,4365,4888,2739,13826,3353,5821,2386,4902,1927,3855,4761,10038,7076,1644,11006,19250,26480,10325,15342,57225
273,5382,2172,1573,12103,3874,3330,3331,5246,4396,4930,2727,13854,3331,5817,2357,4991,1913,3797,4767,10065,7058,1604,11044,19321,26551,10345,15405,57185
274,5297,2136,1580,12062,3964,3326,3397,5198,4416,4947,2745,13706,3386,5826,2303,5048,1914,3851,4714,10053,7051,1563,11090,19361,26628,10363,15495,57166
275,5335,2104,1604,12020,3908,3337,3238,5249,4397,5041,2692,13714,3418,5780,2335,4990,1942,3859,4713,10082,7066,1597,11118,19444,26668,10414,15521,57117
276,5235,2134,1615,11958,3932,3323,3298,5174,4463,4981,2701,13756,3440,5821,2374,4989,1964,3866,4625,10088,7011,1560,11137,19490,26756,10469,15583,57077
277,5338,2101,1606,11765,3920,3299,3260,5254,4393,4979,2696,13652,3451,5899,2320,4927,1916,3894,4733,10157,7046,1554,11167,19561,26800,10486,15648,57115
278,5118,2103,1541,11804,3974,3322,3269,5259,4392,4929,2787,13639,3513,5784,2370,4910,1913,3832,4779,10233,6994,1578,11203,19622,26843,10532,15708,57103
279,5168,2123,1539,11901,4014,3289,3351,5290,4320,4875,2790,13600,3520,5717,2423,4865,1884,3776,4889,10259,7084,1571,11240,19650,26923,10577,15789,57035
280,5232,2176,1559,12045,3953,3263,3411,5332,4323,4858,2770,13556,3473,5818,2369,4937,1917,3843,4780,10211,7139,1582,11283,19708,26973,10627,15844,57096
281,5330,2200,1546,11939,3900,3252,3347,5334,4269,4910,2708,13717,3462,5760,2393,4914,1950,3777,4865,10193,7210,1589,11314,19768,27032,10666,15861,57025
282,5190,2240,1522,12049,3803,3300,3338,5288,4364,4928,2662,13889,3416,5812,2469,4947,2013,3690,4825,10160,7041,1571,11339,19801,27079,10692,15936,57020
283,5334,2159,1559,11961,3734,3279,3311,5265,4368,4873,2742,13839,3317,5823,2534,4984,2005,3676,4845,10207,7134,1522,11367,19844,27147,10731,16002,56975
284,5276,2131,1549,11852,3750,3278,3313,5320,4341,4863,2700,13880,3305,5847,2489,4945,1962,3728,4922,10238,7213,1487,11383,19889,27200,10777,16042,57010
285,5272,2133,1541,11630,3865,3308,3276,5300,4322,4809,2734,13913,3376,5891,2472,4979,2013,3717,4861,10128,7208,1500,11415,19917,27253,10801,16099,56957
286,5167,2153,1507,11485,3898,3371,3265,5306,4350,4869,2663,13853,3381,5912,2462,5026,2043,3693,4792,10174,7166,1494,11431,19976,27314,10858,16139,56975
287,5136,2119,1525,11395,3914,3322,3253,5320,4318,4926,2687,13883,3362,5848,2506,5026,2045,3776,4793,10147,7114,1446,11465,20039,27365,10895,16207,56924
288,5040,2078,1556,11372,3834,3296,3230,5280,4355,4950,2659,13932,3340,5866,2499,5021,2009,3801,4847,10224,7124,1468,11517,20039,27399,10923,16293,56837
289,5060,2044,1520,11387,3840,3323,3229,5292,4313,4980,2660,13862,3371,5827,2525,4948,2009,3751,4900,10177,7187,1443,11551,20106,27433,10973,16331,56780
290,4977,2070,1498,11357,3856,3420,3237,5201,4337,5030,2613,13734,3370,5861,2480,4943,2030,3654,4935,10201,7276,1400,11568,20144,27496,11016,16368,56783
291,4998,1999,1497,11305,3811,3358,3176,5141,4244,5034,2706,13715,3430,5897,2439,4984,2027,3780,4827,10229,7250,1439,11599,20202,27523,11049,16451,56773
292,5065,2472,1865,13151,3807,3411,3499,5369,4310,4972,2683,13742,3474,5886,2443,5008,1998,3710,4874,10150,7290,1600,11615,20244,27543,11073,16538,57083
293,5647,2379,1782,12653,3944,3425,3433,5343,4324,4998,2689,13734,3421,5968,2424,5026,2028,3781,4780,10143,7196,1598,11678,20299,27572,11103,16586,57064
294,5584,2394,1794,12736,4055,3482,3432,5336,4394,5011,2698,13762,3344,6000,2485,5053,2096,3786,4658,10161,7204,1614,11727,20332,27608,11149,16643,57092
295,5610,2300,1731,12642,4031,3517,3389,5242,4435,4947,2783,13769,3356,6027,2497,5014,2109,3765,4686,10174,7205,1648,11762,20390,27646,11209,16692,57083
296,5513,2250,1734,12533,4034,3506,3433,5205,4470,4891,2818,13765,3303,5918,2503,5042,2041,3844,4722,10253,7335,1628,11777,20460,27725,11243,16766,57109
297,5557,2382,1800,13024,4099,3517,3493,5273,4444,4895,2844,13787,3352,5936,2515,5002,1962,3867,4732,10306,7254,1618,11819,20523,27834,11301,16839,57173
298,5605,2373,1805,12904,4070,3463,3426,5366,4382,5020,2768,13959,3411,5958,2452,5092,1962,3952,4676,10311,7162,1626,11834,20564,27889,11336,16920,57202
299,5487,2427,1840,13299,4108,3522,3520,5501,4314,5048,2776,13865,3481,5958,2415,5159,1988,3911,4664,10303,7127,1656,11837,20648,27951,11360,16968,57255
300,5827,2320,1767,12841,4169,3549,3511,5444,4354,5040,2803,13921,3407,5894,2412,5124,1922,3933,4777,10387,7201,1607,11876,20722,28048,11393,17049,57266
301,5645,2322,1743,12825,4178,3509,3467,5461,4407,5052,2799,13992,3483,6020,2429,5058,1959,3929,4836,10367,7072,1648,11882,20738,28080,11414,17101,57324
302,5709,2276,1667,12712,4248,3529,3441,5402,4497,5066,2785,13936,3488,6003,2432,5111,1950,3933,4879,10336,7092,1678,11897,20832,28118,11454,17142,57329
303,5528,2233,1631,12755,4188,3595,3410,5459,4433,5065,2817,13980,3447,6011,2463,5142,2030,3894,4889,10378,7091,1670,11920,20887,28205,11495,17149,57379
304,5476,2208,1630,12719,4047,3631,3388,5465,4422,5100,2813,14183,3471,6017,2488,5130,2033,3911,4908,10277,7067,1638,11958,20929,28281,11520,17207,57429
305,5413,2196,1646,12577,4045,3560,3361,5558,4437,5054,2770,14149,3454,6053,2557,5127,2016,3963,4960,10369,7011,1697,11989,20993,28316,11581,17247,57449
306,5546,2193,1659,12477,4001,3556,3333,5485,4511,5003,2781,13989,3509,6011,2580,5127,1974,3938,4970,10477,7158,1646,12022,20994,28405,11633,17322,57472
307,5518,2171,1649,12455,3992,3534,3321,5497,4505,5017,2771,13930,3541,6009,2575,5124,1995,3947,4941,10473,7301,1643,12059,21029,28452,11630,17407,57475
308,5311,2209,1668,12398,3969,3516,3316,5389,4546,4988,2846,13995,3557,6010,2590,5157,1982,3976,4912,10479,7380,1628,12093,21079,28536,11675,17459,57486
309,5485,2205,1637,12235,3968,3473,3375,5349,4562,5005,2821,14051,3504,6118,2589,5114,2064,4001,5011,10434,7322,1604,12116,21098,28608,11717,17466,57488
310,5385,2199,1626,12386,3919,3467,3425,5355,4535,5005,2816,14058,3553,6170,2549,5039,2069,4040,5003,10455,7347,1661,12146,21103,28639,11750,17504,57486
311,5408,2164,1612,12489,3942,3451,3518,5465,4468,4970,2783,14101,3636,6111,2613,5042,2047,4062,4982,10303,7414,1647,12170,21149,28685,11802,17545,57592
312,5476,2158,1620,12611,3961,3440,3544,5463,4438,4961,2786,14019,3559,6122,2520,5181,2067,4045,4997,10445,7416,1687,12196,21189,28704,11840,17576,57613
313,5405,2255,1671,12678,4014,3489,3595,5431,4458,4992,2812,14052,3533,6018,2537,5218,2082,4011,5020,10404,7483,1702,12235,21232,28755,11869,17610,57644
314,5502,2264,1660,12739,4067,3514,3481,5506,4418,4981,2815,14207,3453,6054,2533,5234,2082,4013,5014,10451,7471,1676,12264,21267,28846,11889,17669,57706
315,5577,2250,1650,12669,4105,3548,3452,5435,4500,5055,2802,14147,3437,6068,2627,5193,2108,3980,5021,10549,7394,1688,12311,21276,28898,11921,17715,57743
316,5560,2231,1652,12532,3987,3508,3435,5369,4498,5072,2794,14127,3487,6132,2581,5131,2040,4016,5059,10654,7459,1627,12358,21320,29035,11990,17788,57727
317,5429,2242,1613,12508,3885,3587,3415,5350,4448,5066,2858,14196,3518,6206,2606,5067,2037,3977,5097,10649,7420,1618,12397,21352,29092,11998,17845,57743
318,5548,2159,1619,12516,3900,3482,3310,5322,4395,5119,2861,14275,3508,6266,2572,5116,2070,4040,5028,10610,7402,1555,12414,21395,29154,12045,17890,57698
319,5455,2182,1651,12737,3885,3534,3432,5388,4414,5076,2895,14259,3490,6146,2642,5087,2095,3998,5063,10643,7378,1636,12444,21451,29151,12072,17943,57790
320,5474,2205,1649,12894,3910,3578,3421,5499,4313,5016,2975,14329,3433,6125,2717,5167,2110,4020,5032,10610,7368,1662,12452,21504,29191,12112,17981,57846
321,5446,2173,1681,12681,3936,3615,3483,5459,4406,5037,2893,14221,3459,6122,2770,5156,2142,4052,4993,10652,7387,1623,12475,21522,29268,12124,18044,57858
322,5419,2169,1662,12591,3892,3636,3468,5391,4424,5113,2875,14428,3466,6110,2723,5302,2113,4069,4968,10592,7277,1620,12492,21541,29314,12148,18116,57844
323,5416,2177,1622,12366,3963,3732,3429,5414,4454,5103,2857,14395,3480,6191,2710,5314,2071,3996,4994,10567,7250,1629,12534,21597,29347,12164,18198,57878
324,5442,2141,1617,12206,3991,3681,3339,5399,4449,5032,2876,14367,3470,6139,2645,5338,2104,3965,5041,10734,7396,1655,12592,21669,29380,12182,18243,57840
325,5296,2215,1637,12443,4016,3679,3385,5399,4474,5036,2895,14323,3537,6168,2553,5340,2051,3933,5044,10617,7483,1678,12631,21714,29405,12193,18350,57888
326,5351,2219,1627,12252,4013,3590,3417,5438,4503,4934,2850,14415,3538,6094,2591,5354,2086,4078,4967,10614,7461,1725,12668,21780,29412,12260,18378,57846
327,5322,2207,1569,12142,4113,3599,3455,5408,4488,5057,2773,14319,3568,6211,2562,5339,2140,4027,4922,10652,7431,1730,12690,21791,29448,12274,18475,57827
328,5311,2169,1556,12169,4049,3632,3379,5377,4466,4992,2855,14338,3595,6281,2592,5341,2159,3951,4963,10706,7420,1781,12681,21805,29460,12304,18517,57790
