Time,Bujumbura,Bubanza,Cibitoke,Isale,Muramvya,Kayanza,Mwaro,Rumonge,Bururi,Rutana,Makamba,Gitega,Karuzi,Ruyigi,Cankuzo,Muyinga,Kirundo,Ngozi,Gashoho,Gitega-Ruyigi,Makebuko,Commune of Mabanda,Mahama,Nduta,Nyarugusu,Nakivale,Kigali,Lusenda
84,4615,2077,420,11656,3198,1155,2637,4287,3320,3214,1988,8701,1775,2809,1112,2465,941,4442,3233,5925,4176,710,2021,4125,10418,3256,2163,44814
85,4459,1991,382,11463,3092,1130,2568,4286,3307,3258,2027,8808,1855,2840,1123,2507,976,4363,3200,5927,4112,667,2093,4225,10554,3340,2244,45291
86,4357,1915,414,11095,3114,1097,2514,4207,3357,3251,2009,8777,1856,2835,1170,2577,944,4231,3296,5993,4187,637,2163,4354,10678,3429,2323,45743
87,4647,1917,426,11341,3115,981,2490,4121,3350,3377,2011,8764,1860,2804,1178,2635,965,4569,3332,6071,4192,646,2239,4472,10780,3530,2427,46219
88,4801,1950,453,11533,3085,1088,2560,4126,3337,3369,2048,8825,1874,2797,1214,2632,997,4858,3399,6047,4308,663,2335,4582,10908,3646,2513,46701
89,4992,1996,480,11790,3142,1185,2527,4090,3404,3360,2082,8911,1910,2874,1177,2676,1013,5017,3473,6055,4300,675,2388,4690,11035,3788,2598,47211
90,5166,2082,499,12096,3091,1184,2667,4184,3347,3415,2036,8998,1964,2833,1241,2707,1020,5265,3576,6069,4346,685,2473,4809,11168,3904,2690,47768
91,4605,2047,421,11805,3178,1263,2653,4222,3297,3483,2002,8997,1940,2995,1201,2772,1049,4877,3698,6064,4390,706,2557,4933,11277,3976,2773,48290
92,4438,1968,413,11332,3218,1192,2587,4113,3369,3466,2013,9110,1913,3004,1232,2864,1086,4707,3726,6100,4404,666,2630,5050,11424,4049,2864,48721
93,5405,2108,475,12214,3187,1191,2594,4234,3279,3492,2072,9212,1954,2991,1250,2833,1093,5624,3791,6216,4368,700,2700,5189,11550,4213,2954,49302
94,5885,2215,575,13248,3161,1334,2694,4372,3386,3492,2014,9220,1996,3014,1297,2854,1135,6313,3952,6256,4428,768,2793,5305,11669,4369,3039,49939
95,4936,2246,505,13106,3332,1458,2672,4421,3367,3529,2070,9265,2025,2997,1304,2971,1123,5818,4145,6303,4453,758,2852,5434,11820,4470,3139,50467
96,4927,2147,425,12532,3425,1424,2659,4360,3371,3538,2092,9167,2058,3004,1304,3066,1158,5568,4175,6359,4551,720,2937,5559,11963,4587,3227,50946
97,4970,2137,465,12447,3416,1336,2641,4379,3260,3592,2128,9286,2059,2975,1353,3090,1155,5579,4254,6409,4577,693,3018,5662,12086,4728,3334,51477
98,4997,2113,492,12316,3373,1330,2686,4248,3379,3591,2147,9495,2062,3080,1381,3124,1216,5511,4219,6412,4503,701,3117,5776,12211,4852,3439,51992
99,5002,2046,470,12280,3382,1291,2688,4300,3386,3616,2098,9545,2079,3059,1449,3061,1215,5489,4371,6426,4648,680,3199,5885,12337,4977,3542,52499
100,4890,2086,502,12159,3367,1245,2695,4318,3397,3607,2127,9533,2115,3086,1417,3208,1242,5541,4339,6540,4677,703,3288,6005,12449,5098,3639,53004
101,4656,2021,441,11710,3321,1312,2680,4354,3389,3583,2133,9565,2140,3165,1436,3278,1286,5186,4288,6578,4679,675,3358,6119,12579,5181,3747,53417
102,4400,1958,417,11488,3319,1158,2537,4369,3417,3517,2140,9710,2144,3233,1425,3303,1299,5064,4283,6563,4707,628,3450,6240,12709,5285,3861,53874
103,4609,1919,413,11390,3311,1222,2554,4363,3439,3493,2102,9736,2193,3219,1479,3307,1318,5065,4287,6572,4761,611,3538,6357,12845,5396,3989,54316
104,4288,1853,409,11085,3360,1270,2579,4339,3420,3518,2096,9737,2191,3212,1522,3369,1364,4847,4214,6622,4803,610,3631,6486,12957,5492,4106,54744
105,4144,1799,350,10753,3314,1132,2530,4218,3447,3558,2166,9740,2255,3252,1502,3427,1318,4603,4285,6631,4758,590,3736,6614,13068,5593,4201,55140
106,3876,1731,361,10389,3258,1069,2541,4165,3457,3620,2145,9655,2255,3337,1456,3373,1285,4450,4329,6736,4756,582,3834,6757,13173,5683,4295,55556
107,3853,1663,335,10033,3246,1089,2469,4145,3380,3687,2121,9647,2298,3362,1480,3381,1376,4241,4108,6756,4739,547,3931,6912,13281,5769,4408,55867
108,4141,1668,383,10098,3137,981,2477,4148,3416,3668,2073,9683,2250,3400,1494,3408,1305,4572,4107,6794,4741,558,4022,7051,13384,5873,4529,56260
109,3860,1669,380,9932,3077,1063,2477,4129,3433,3613,2065,9668,2228,3394,1532,3440,1310,4401,3988,6816,4796,556,4127,7180,13469,5949,4647,56622
110,4312,1667,373,9974,3033,1030,2485,4216,3313,3609,2061,9703,2210,3404,1498,3471,1303,4648,3954,6799,4840,546,4233,7323,13587,6043,4751,56991
111,3751,1682,380,9845,3045,1082,2465,4180,3353,3596,1998,9815,2227,3389,1557,3441,1306,4343,3991,6743,4811,555,4327,7467,13683,6110,4854,57381
112,4265,1668,368,9830,3085,964,2406,4137,3338,3643,1969,9799,2236,3452,1560,3408,1298,4670,4004,6724,4851,554,4420,7609,13784,6198,4964,57795
113,4292,1684,405,10122,3025,1148,2393,4091,3362,3600,2058,9757,2229,3434,1572,3399,1290,4668,4056,6811,4851,570,4501,7756,13889,6326,5079,58253
114,4289,1776,422,10365,3090,1038,2472,4055,3370,3604,2083,9703,2266,3526,1558,3335,1266,4898,4143,6817,4774,588,4592,7890,13994,6442,5208,58679
115,3955,1741,384,10097,3092,1167,2411,4031,3394,3546,2099,9730,2242,3542,1538,3322,1275,4543,4126,6873,4795,579,4704,8033,14105,6504,5341,59074
116,4762,1873,418,10574,3116,1063,2438,4101,3390,3533,2054,9753,2245,3501,1523,3319,1282,5252,4042,6901,4860,601,4789,8181,14215,6650,5467,59523
117,4010,1865,421,10549,3107,1202,2459,4125,3385,3534,2032,9782,2247,3488,1586,3291,1271,4853,4094,6842,4884,606,4893,8315,14336,6727,5584,59938
118,4071,1744,379,10384,3164,1104,2461,4102,3362,3479,2095,9677,2211,3523,1582,3304,1277,4659,4110,6904,4952,593,4968,8449,14433,6841,5706,60284
119,4060,1674,382,10143,3142,1090,2416,4086,3312,3532,2079,9639,2240,3526,1564,3292,1273,4572,4071,6969,5009,592,5067,8577,14541,6922,5822,60638
120,3892,1704,345,9945,3125,1031,2417,3957,3398,3550,2068,9634,2266,3494,1590,3348,1255,4522,4007,6961,5034,591,5160,8721,14654,7015,5942,61051
121,3868,1640,374,9659,3061,1076,2469,3949,3331,3541,2099,9783,2274,3531,1535,3449,1267,4405,3994,6891,4943,560,5245,8848,14765,7100,6041,61426
122,3829,1584,340,9562,3036,1020,2418,3974,3266,3569,2088,9729,2318,3549,1557,3422,1256,4320,4000,6845,4978,600,5354,8988,14849,7196,6141,61783
123,3591,1575,353,9302,2941,1014,2397,3907,3262,3609,2089,9858,2360,3567,1561,3378,1248,4087,4000,6808,4948,552,5444,9124,14972,7271,6249,62114
124,3551,1577,337,9068,2921,975,2369,3857,3233,3620,2062,9740,2316,3550,1539,3454,1240,3947,3941,6913,4962,529,5524,9290,15066,7349,6367,62419
125,3540,1527,309,8858,2899,958,2339,3804,3200,3612,2058,9664,2288,3473,1556,3399,1226,3872,3859,7000,5033,500,5621,9461,15167,7411,6480,62737
126,3420,1513,310,8777,2946,909,2289,3839,3089,3599,2122,9570,2265,3513,1556,3414,1216,3865,3736,7056,4997,495,5721,9615,15254,7503,6588,63106
127,3490,1460,304,8584,2962,926,2260,3775,3149,3611,2029,9585,2248,3539,1554,3407,1181,3776,3779,7026,4918,509,5817,9785,15353,7589,6701,63398
128,3336,1454,294,8588,2903,864,2314,3711,3205,3525,2060,9616,2303,3583,1550,3363,1123,3883,3677,6946,4868,521,5928,9915,15454,7678,6798,63687
129,3187,1450,265,8309,2915,917,2270,3715,3173,3599,1991,9559,2284,3595,1547,3302,1121,3687,3644,7053,4800,500,6033,10069,15531,7755,6889,63987
130,3352,1356,271,8235,2837,868,2213,3685,3174,3553,1970,9720,2280,3540,1547,3288,1145,3675,3576,6985,4773,480,6127,10224,15621,7838,6988,64268
131,3124,1348,285,8139,2799,879,2191,3652,3123,3547,1949,9609,2310,3548,1507,3321,1098,3465,3602,6997,4794,465,6218,10357,15720,7912,7089,64541
132,3221,1315,290,7982,2709,828,2155,3635,3065,3519,1975,9549,2328,3504,1543,3288,1103,3438,3557,6929,4830,464,6324,10496,15799,7977,7197,64809
133,3150,1325,293,7884,2712,853,2160,3724,2933,3575,1939,9517,2329,3479,1530,3330,1105,3452,3455,6894,4799,470,6412,10643,15872,8039,7290,65090
134,3212,1313,278,7846,2663,781,2143,3603,3009,3548,1921,9420,2256,3566,1524,3235,1108,3464,3539,6935,4765,473,6509,10757,15955,8108,7387,65361
135,3111,1347,272,7867,2607,833,2125,3525,2990,3536,1922,9495,2284,3593,1549,3175,1103,3389,3517,6813,4721,470,6595,10895,16033,8187,7492,65658
136,2975,1316,247,7719,2621,848,2086,3478,3041,3497,1940,9438,2254,3458,1548,3236,1058,3209,3482,6820,4767,480,6685,11042,16109,8246,7594,65910
137,3317,1304,286,7877,2689,765,2075,3454,3072,3404,1969,9279,2252,3556,1537,3243,1027,3396,3477,6891,4603,454,6765,11178,16200,8345,7682,66160
138,3054,1312,288,7694,2710,831,2070,3534,3001,3434,1943,9357,2345,3488,1478,3244,1054,3262,3406,6766,4560,466,6847,11308,16257,8407,7765,66470
139,3078,1254,230,7622,2661,721,2021,3518,2983,3382,1945,9265,2354,3413,1500,3211,1100,3211,3349,6785,4620,462,6935,11421,16335,8462,7845,66762
140,3006,1248,291,7544,2689,817,2015,3475,3000,3334,1899,9111,2276,3381,1546,3176,1085,3168,3344,6804,4670,443,7019,11550,16423,8522,7946,67038
141,3005,1205,271,7314,2609,748,2005,3434,2936,3337,1935,9209,2244,3361,1560,3166,1049,3110,3304,6715,4658,427,7122,11676,16508,8595,8043,67274
142,2811,1218,269,7193,2567,754,2055,3384,2943,3333,1890,9143,2160,3411,1537,3187,1081,2997,3238,6642,4675,440,7204,11810,16592,8641,8139,67506
143,2786,1178,257,7064,2495,708,2052,3414,2887,3366,1840,9150,2190,3369,1546,3158,1091,2862,3218,6557,4633,396,7292,11949,16680,8703,8233,67746
144,2908,1146,239,6930,2484,712,2032,3320,2926,3303,1889,9143,2210,3353,1528,3161,1069,2831,3175,6515,4579,365,7360,12091,16751,8779,8308,67974
145,2689,1138,238,6903,2423,716,2025,3357,2870,3308,1873,8961,2188,3353,1491,3110,1045,2804,3110,6681,4568,379,7450,12203,16798,8850,8392,68232
146,2737,1110,238,6678,2406,690,1991,3299,2837,3353,1862,8953,2178,3361,1488,3038,1055,2721,3103,6621,4555,409,7529,12340,16858,8907,8471,68441
147,2624,1082,253,6567,2398,643,1961,3317,2750,3356,1852,8899,2184,3351,1509,2986,1025,2678,3129,6581,4573,406,7628,12436,16907,8972,8540,68660
148,2506,1105,225,6417,2438,629,1956,3295,2753,3319,1857,8734,2160,3370,1505,2975,1015,2620,3089,6589,4600,388,7702,12565,16981,9024,8631,68857
149,2652,1067,195,6275,2352,665,1878,3231,2732,3346,1831,8719,2203,3386,1491,2922,1025,2531,3044,6534,4521,402,7799,12676,17031,9070,8718,69047
150,2449,1065,235,6199,2295,615,1922,3225,2753,3258,1801,8694,2184,3376,1485,2935,1018,2559,2961,6503,4543,418,7861,12781,17075,9124,8799,69248
151,2494,1015,259,6057,2243,612,1939,3189,2691,3304,1807,8587,2201,3317,1413,2945,987,2571,2884,6534,4535,415,7922,12921,17133,9185,8880,69449
152,2421,1001,246,5985,2194,671,1953,3081,2729,3252,1828,8515,2189,3261,1422,2945,956,2480,2876,6448,4596,381,7982,13045,17218,9229,8955,69630
153,4255,1207,380,7520,2196,600,2034,3180,2746,3173,1816,8581,2155,3281,1412,2888,933,4092,2889,6406,4549,434,8062,13168,17284,9401,9032,69997
154,3238,1359,336,8119,2272,879,2081,3238,2691,3251,1822,8625,2130,3236,1434,2877,931,3753,3120,6321,4457,481,8148,13291,17365,9465,9093,70427
155,3097,1333,299,7984,2316,841,2007,3146,2775,3196,1852,8629,2148,3273,1423,2802,950,3528,3219,6311,4404,465,8218,13382,17436,9541,9158,70707
156,2970,1295,281,7631,2426,867,2029,3215,2743,3146,1826,8547,2059,3239,1437,2861,955,3311,3232,6364,4414,476,8292,13512,17506,9600,9231,70975
157,3384,1304,290,7801,2426,814,2000,3299,2660,3220,1802,8530,2017,3131,1435,2912,982,3615,3160,6404,4350,477,8362,13634,17577,9696,9319,71255
158,3071,1320,305,7748,2493,856,1972,3249,2747,3154,1786,8512,2055,3184,1407,2896,986,3430,3162,6386,4365,482,8436,13744,17656,9750,9419,71537
159,3240,1323,297,7700,2478,776,1947,3308,2759,3141,1755,8581,2060,3257,1394,2894,994,3555,3231,6238,4373,475,8509,13855,17735,9823,9487,71808
160,3332,1319,297,7702,2513,814,2020,3296,2809,3115,1756,8487,2062,3196,1401,2874,992,3578,3257,6306,4374,463,8588,13970,17808,9880,9573,72096
161,3557,1352,348,8203,2504,853,2053,3321,2811,3074,1783,8537,2079,3209,1426,2855,985,3891,3247,6220,4319,541,8661,14070,17872,9967,9655,72431
162,3682,1398,359,8614,2546,962,2119,3334,2852,3017,1781,8433,2022,3244,1374,2984,997,3981,3271,6247,4327,531,8739,14199,17972,10072,9735,72789
163,3741,1540,364,9007,2500,907,2171,3398,2813,3023,1776,8466,2106,3227,1349,2926,1019,4234,3325,6231,4331,546,8816,14305,18051,10174,9840,73152
164,4063,1539,390,9190,2563,1020,2235,3548,2741,3007,1734,8430,2050,3229,1412,2899,1015,4343,3458,6200,4335,510,8893,14429,18168,10258,9923,73513
165,3678,1619,375,9087,2625,996,2232,3456,2778,3005,1741,8449,2033,3265,1397,3017,1029,4135,3489,6078,4380,538,8978,14543,18239,10335,10001,73830
166,3468,1591,344,8900,2649,959,2190,3426,2731,3088,1705,8458,2102,3169,1424,2986,1025,3939,3515,6121,4362,512,9054,14692,18331,10403,10096,74138
167,3398,1542,318,8613,2646,938,2153,3357,2742,3077,1767,8537,2095,3183,1397,3086,1079,3750,3445,6116,4318,488,9129,14813,18418,10487,10189,74434
168,3279,1471,286,8389,2624,890,2125,3305,2771,3064,1834,8686,2069,3146,1414,3060,1064,3599,3433,6016,4258,500,9228,14935,18499,10574,10286,74712
169,3151,1445,274,8082,2595,876,2079,3339,2736,3068,1807,8657,2133,3171,1427,2991,1097,3468,3386,6054,4253,500,9298,15061,18587,10638,10363,74983
170,3086,1373,287,7779,2564,856,2062,3311,2694,3180,1755,8679,2139,3133,1464,3002,1087,3354,3376,6082,4190,475,9360,15181,18675,10700,10451,75226
171,2994,1367,254,7547,2596,806,2039,3288,2684,3149,1790,8575,2121,3144,1484,3060,1065,3226,3342,6094,4186,458,9442,15273,18760,10763,10538,75478
