Time,Mahama,
155,14660,43740
156,14802,43593
157,14941,43786
158,15079,43879
159,15253,43973
160,15408,44067
161,15559,44161
162,15714,44255
163,15860,44349
164,15995,44443
165,16127,44484
166,16283,44523
167,16423,44626
168,16565,44627
169,16694,44629
170,16844,44631
171,16976,44633
172,17154,44715
173,17308,44765
174,17459,44781
175,17614,44839
176,17763,44857
177,17919,44876
178,18086,44895
179,18218,45153
180,18390,45154
181,18570,45155
182,18724,45157
183,18873,45158
184,19012,45159
185,19172,45161
186,19336,45254
187,19506,45348
188,19668,45393
189,19843,45451
190,20007,45510
191,20169,45569
192,20344,45591
193,20480,45613
194,20623,45635
195,20791,45658
196,20950,45682
197,21127,45707
198,21276,45732
199,21440,45803
200,21566,45875
201,21719,45947
202,21869,46019
203,22032,46036
204,22161,46054
205,22336,46072
206,22488,46090
207,22620,46108
208,22762,46161
209,22902,46194
210,23040,46227
211,23203,46260
212,23331,46293
213,23507,46327
214,23647,46433
215,23817,46631
216,23968,46399
217,24107,46167
218,24261,45935
219,24419,45703
220,24547,45471
221,24699,45240
222,24833,45098
223,24976,45120
224,25112,45143
225,25250,45166
226,25368,45189
227,25513,45212
228,25654,46075
229,25797,45989
230,25932,45903
231,26061,45818
232,26230,45732
233,26394,45647
234,26545,45561
235,26722,45476
236,26863,45476
237,27000,45476
238,27146,45476
239,27290,45476
240,27455,45476
241,27601,45476
242,27788,45565
243,27916,45655
244,28074,45517
245,28213,45379
246,28351,45241
247,28508,45103
248,28654,44965
249,28785,45018
250,28904,45071
251,29063,45090
252,29194,45109
253,29342,45128
254,29477,45148
255,29600,45236
256,29754,45298
257,29885,45360
258,30010,45422
259,30136,45431
260,30257,45441
261,30389,45450
262,30514,45460
263,30648,45545
264,30742,45631
265,30867,45657
266,30996,45683
267,31130,45709
268,31232,45735
269,31342,45762
270,31469,45817
271,31602,45579
272,31726,45644
273,31847,45759
274,31951,45874
275,32069,45989
276,32189,46104
277,32316,46219
278,32412,46334
279,32498,46449
280,32635,46564
281,32763,46679
282,32867,46794
283,32960,46909
284,33065,47024
285,33158,47139
286,33253,47167
287,33347,47196
288,33438,47224
289,33551,47253
290,33646,47282
291,33736,47299
292,33841,47364
293,33930,47430
294,34040,47442
295,34159,47455
296,34271,47468
297,34350,47481
298,34448,47494
299,34535,47507
300,34640,47520
301,34735,47533
302,34824,47546
303,34927,47559
304,35034,47572
305,35124,47585
306,35225,47598
307,35321,47611
308,35426,47624
309,35518,47637
310,35578,47650
311,35672,47721
312,35768,47792
313,35864,47863
314,35983,47934
315,36081,47956
316,36154,47978
317,36237,48000
318,36353,48022
319,36426,48091
320,36541,48160
321,36642,48188
322,36737,48217
323,36846,48246
324,36937,48275
325,37032,48318
326,37126,48362
327,37223,48406
328,37342,48409
329,37433,48413
330,37517,48417
331,37605,48421
332,37694,48292
333,37773,48164
334,37882,48036
335,37990,47908
336,38087,47927
337,38176,47946
338,38252,47965
339,38359,47985
340,38466,48004
341,38539,48023
342,38629,48043
343,38730,48071
344,38804,48100
345,38914,48129
346,39013,48158
347,39087,48187
348,39209,48216
349,39310,48245
350,39417,48258
351,39503,48272
352,39581,48286
353,39664,48300
354,39760,48350
355,39854,48400
356,39932,48450
357,40026,48444
358,40138,48438
359,40226,48433
360,40334,48427
361,40431,48422
362,40507,48416
363,40600,48411
364,40698,48424
365,40786,48437
366,40867,48450
367,40955,48463
368,41054,48476
369,41125,48489
370,41221,48503
371,41305,48518
372,41391,48532
373,41460,48547
374,41546,48562
375,41636,48622
376,41751,48682
377,41848,48742
378,41939,48767
379,42046,48793
380,42135,48819
381,42210,48845
382,42298,48871
383,42354,48897
384,42413,48923
385,42517,48915
386,42605,48908
387,42676,48901
388,42761,48894
389,42850,49037
390,42905,49181
391,42972,49325
392,43051,49327
393,43126,49330
394,43186,49333
395,43270,49336
