Time,Nakivale,comparison
302,11588,16540
303,11614,16603
304,11634,16666
305,11644,16730
306,11669,16793
307,11705,16857
308,11752,16921
309,11814,16985
310,11860,17049
311,11884,17113
312,11942,17177
313,11977,17255
314,12009,17333
315,12061,17411
316,12122,17490
317,12150,17568
318,12200,17646
319,12226,17725
320,12250,17748
321,12290,17771
322,12323,17795
323,12326,17818
324,12380,17841
325,12414,17865
326,12436,17888
327,12473,17911
328,12509,17935
329,12521,17958
330,12567,17981
331,12588,18005
332,12635,18028
333,12666,18052
334,12676,18084
335,12669,18117
336,12705,18150
337,12741,18182
338,12794,18215
339,12847,18248
340,12877,18281
341,12919,18313
342,12946,18346
343,12975,18379
344,12992,18411
345,13007,18444
346,13029,18477
347,13097,18510
348,13134,18510
349,13133,18510
350,13173,18510
351,13224,18510
352,13263,18510
353,13272,18510
354,13302,18510
355,13346,18367
356,13374,18224
357,13406,18082
358,13452,17939
359,13469,17797
360,13475,17654
361,13526,17512
362,13537,17521
363,13531,17531
364,13564,17540
365,13597,17550
366,13611,17559
367,13651,17569
368,13656,17578
369,13710,17588
370,13762,17597
371,13807,17607
372,13836,17616
373,13871,17626
374,13946,17635
375,14002,17645
376,14027,17654
377,14070,17664
378,14125,17673
379,14153,17683
380,14222,17692
381,14249,17702
382,14265,17712
383,14279,17754
384,14301,17796
385,14330,17838
386,14355,17880
387,14374,17922
388,14400,17964
389,14449,18007
390,14498,18041
391,14554,18076
392,14549,18110
393,14562,18145
394,14577,18180
395,14614,18214
