Time,Belom,
651,19175,18548
652,19179,18548
653,19179,18547
654,19187,18546
655,19177,18546
656,19177,18545
657,19185,18544
658,19181,18544
659,19180,18543
660,19191,18543
661,19172,18542
662,19191,18541
663,19175,18541
664,19197,18540
665,19174,18539
666,19190,18539
667,19175,18538
668,19200,18538
669,19184,18537
670,19174,18537
671,19196,18537
672,19175,18536
673,19184,18536
674,19176,18536
675,19199,18536
676,19183,18535
677,19186,18535
678,19186,18535
679,19182,18535
680,19178,18534
681,19189,18534
682,19175,18534
683,19191,18534
684,19178,18533
685,19176,18533
686,19179,18533
687,19181,18533
688,19176,18532
689,19193,18532
690,19176,18532
691,19186,18532
692,19181,18531
693,19181,18531
694,19187,18531
695,19174,18531
696,19181,18530
697,19175,18530
698,19180,18530
699,19184,18530
700,19175,18536
701,19198,18543
702,19176,18549
703,19182,18556
704,19176,18562
705,19180,18569
706,19179,18575
707,19182,18582
708,19177,18589
709,19177,18595
710,19185,18602
711,19182,18608
712,19177,18615
713,19189,18621
714,19174,18628
715,19190,18635
716,19173,18641
717,19190,18648
718,19176,18654
719,19182,18661
720,19180,18667
721,19181,18674
722,19181,18681
723,19185,18687
724,19178,18694
725,19192,18700
726,19175,18707
727,19180,18713
728,19182,18720
729,19179,18727
730,19175,18727
731,19189,18728
732,19177,18729
733,19190,18730
734,19175,18730
735,19188,18731
736,19175,18732
737,19198,18733
738,19178,18733
739,19195,18734
740,19174,18735
741,19190,18736
742,19177,18737
743,19181,18737
744,19179,18738
745,19184,18739
746,19174,18740
747,19182,18740
748,19176,18741
749,19191,18742
750,19174,18743
751,19188,18744
752,19178,18744
753,19179,18745
754,19185,18746
755,19176,18747
756,19187,18747
757,19174,18748
758,19185,18749
759,19176,18750
760,19187,18751
761,19181,18751
762,19189,18751
763,19178,18751
764,19182,18751
765,19173,18751
766,19186,18751
767,19179,18751
768,19182,18751
769,19181,18751
770,19175,18751
771,19187,18751
772,19176,18751
773,19184,18751
774,19177,18751
775,19194,18751
776,19176,18752
777,19187,18752
778,19180,18752
779,19182,18752
780,19173,18752
781,19190,18752
782,19173,18752
783,19190,18752
784,19172,18752
785,19190,18752
786,19178,18752
787,19183,18752
788,19173,18752
789,19187,18752
790,19173,18752
791,19186,18753
792,19178,18759
793,19194,18765
794,19174,18771
795,19189,18777
796,19175,18783
797,19188,18790
798,19172,18796
799,19199,18802
800,19184,18808
801,19185,18814
802,19180,18820
803,19181,18827
804,19184,18833
805,19182,18839
806,19183,18845
807,19178,18851
808,19185,18857
809,19179,18864
810,19191,18870
811,19174,18876
812,19185,18882
813,19176,18888
814,19195,18894
815,19178,18901
816,19192,18907
817,19180,18913
818,19183,18919
819,19178,18925
