Time,East,
557,180510,158936
558,180652,159245
559,180489,159554
560,180664,159577
561,180490,159601
562,180640,159625
563,180518,159648
564,180623,159672
565,180540,159696
566,180627,159720
567,180514,159743
568,180624,159767
569,180513,159791
570,180626,159815
571,180533,159838
572,180629,159862
573,180539,159886
574,180629,159910
575,180539,159953
576,180621,159997
577,180520,160040
578,180631,160084
579,180546,160127
580,180611,160171
581,180526,160215
582,180609,161168
583,180548,162121
584,180602,163074
585,180548,162914
586,180601,162754
587,180549,162595
588,180597,162435
589,180548,162275
590,180583,162116
591,180567,161956
592,180577,161796
593,180611,161637
594,180545,161477
595,180601,161317
596,180519,161158
597,180634,160998
598,180494,160839
599,180643,160873
600,180492,160907
601,180659,160941
602,180487,160975
603,180676,161009
604,180498,161043
605,180653,161077
606,180497,161111
607,180638,161145
608,180505,162040
609,180667,162936
610,180496,162987
611,180640,163039
612,180505,163090
613,180662,163142
614,180498,163194
615,180669,163245
616,180494,163297
617,180679,163348
618,180498,163400
619,180637,163452
620,180532,163503
621,180628,163555
622,180539,163606
623,180606,163658
624,180528,163710
625,180626,163870
626,180494,164031
627,180682,164191
628,180488,164352
629,180658,164512
630,180501,164673
631,180643,164833
632,180520,164994
633,180621,165154
634,180504,165315
635,180632,165475
636,180513,165636
637,180642,165797
638,180525,165855
639,180629,165914
640,180525,165972
641,180615,166031
642,180536,166089
643,180597,166148
644,180560,166206
645,180611,166265
646,180550,166247
647,180604,166230
648,180545,166213
649,180595,166196
650,180554,166179
651,180608,166162
652,180537,166144
653,180604,166127
654,180546,166110
655,180593,166093
656,180567,166076
657,180573,166059
658,180565,166042
659,180587,166058
660,180565,166074
661,180562,166091
662,180585,166107
663,180588,166124
664,180575,166140
665,180578,166157
666,180566,166173
667,180576,166189
668,180573,166206
669,180585,166222
670,180566,166239
671,180566,166255
672,180568,166272
673,180600,166288
674,180563,166305
675,180612,166321
676,180513,166337
677,180635,166354
678,180514,166370
679,180620,166387
680,180529,166403
681,180625,166420
682,180555,166436
683,180573,166453
684,180556,166788
685,180578,167124
686,180567,167460
687,180579,167796
688,180553,168132
689,180585,168468
690,180570,168804
691,180597,169140
692,180549,169476
693,180602,169812
694,180556,169986
695,180601,170161
696,180555,170336
697,180583,170510
698,180570,170685
699,180595,170860
700,180555,171034
701,180583,171209
702,180555,171384
703,180595,171384
704,180555,171384
705,180602,171384
706,180562,171384
707,180622,171384
708,180524,171384
709,180632,171384
710,180536,171384
711,180594,171384
712,180558,171384
713,180611,171384
714,180539,171384
715,180619,171384
716,180522,171384
717,180630,171384
718,180510,171384
719,180661,171384
720,180490,171384
721,180668,171384
722,180497,171384
723,180662,171384
724,180495,171384
725,180659,171470
726,180510,171557
727,180661,171644
728,180488,171731
729,180663,171736
730,180504,171742
731,180641,171747
732,180494,171753
733,180650,171954
734,180501,172155
735,180659,172357
736,180488,172558
737,180627,172760
738,180530,172961
739,180613,173163
740,180510,173364
741,180640,173565
742,180522,173767
743,180614,173968
744,180522,174170
745,180619,174371
746,180522,174573
747,180594,174774
748,180569,174975
749,180549,175177
750,180588,175378
751,180543,175580
752,180592,175781
753,180541,175983
754,180607,176184
755,180534,176385
756,180587,176587
757,180551,176788
758,180597,176990
759,180544,177191
760,180601,177393
761,180574,177407
762,180573,177422
763,180577,177437
764,180589,177452
765,180572,177467
766,180588,177482
767,180524,177497
768,180631,177512
769,180507,177527
770,180636,177542
771,180508,177557
772,180651,177572
773,180489,177587
774,180657,177602
775,180515,177617
776,180643,177632
777,180492,177647
778,180636,177662
779,180526,177677
780,180654,177692
781,180488,177707
782,180646,177746
783,180503,177786
784,180643,177826
785,180520,177865
786,180631,177905
787,180505,177945
788,180642,177985
789,180529,178024
790,180617,178064
791,180579,178104
792,180570,178143
793,180603,178183
794,180579,178223
795,180570,178263
796,180583,178302
797,180576,178342
798,180589,178382
799,180561,178421
800,180566,178461
801,180581,178501
802,180596,178541
803,180561,178580
804,180581,178620
805,180571,178660
806,180568,178699
807,180571,178739
808,180592,178779
809,180557,178819
810,180599,178858
811,180551,178898
812,180613,178938
813,180545,178977
814,180605,179017
815,180543,179057
816,180583,179097
817,180569,179136
818,180585,179176
819,180582,179216
