Time,Dosseye,
654,12449,16272
655,12449,15972
656,12449,15672
657,12449,15372
658,12449,15072
659,12449,14772
660,12449,14472
661,12449,14172
662,12449,13872
663,12449,13572
664,12449,13272
665,12449,12972
666,12449,12672
667,12449,12372
668,12449,12073
669,12449,12073
670,12449,12073
671,12449,12073
672,12449,12074
673,12449,12074
674,12449,12074
675,12449,12075
676,12449,12075
677,12449,12075
678,12449,12075
679,12449,12076
680,12449,12076
681,12449,12076
682,12449,12077
683,12449,12077
684,12449,12077
685,12449,12077
686,12449,12078
687,12449,12078
688,12449,12078
689,12449,12079
690,12449,12079
691,12449,12079
692,12449,12079
693,12449,12080
694,12449,12080
695,12449,12080
696,12449,12081
697,12449,12081
698,12449,12081
699,12449,12082
700,12449,12082
701,12449,12082
702,12449,12082
703,12449,12082
704,12449,12082
705,12449,12082
706,12449,12082
707,12449,12082
708,12449,12082
709,12449,12082
710,12449,12082
711,12449,12082
712,12449,12082
713,12449,12082
714,12449,12082
715,12449,12082
716,12449,12082
717,12449,12082
718,12449,12082
719,12449,12082
720,12449,12082
721,12449,12082
722,12449,12082
723,12449,12082
724,12449,12082
725,12449,12082
726,12449,12082
727,12449,12082
728,12449,12082
729,12449,12082
730,12449,12081
731,12449,12081
732,12449,12081
733,12449,12080
734,12449,12080
735,12449,12080
736,12449,12080
737,12449,12079
738,12449,12079
739,12449,12079
740,12449,12079
741,12449,12078
742,12449,12078
743,12449,12078
744,12449,12078
745,12449,12077
746,12449,12077
747,12449,12077
748,12449,12077
749,12449,12076
750,12449,12076
751,12449,12076
752,12449,12076
753,12449,12075
754,12449,12075
755,12449,12075
756,12449,12075
757,12449,12074
758,12449,12074
759,12449,12074
760,12449,12074
761,12449,12073
762,12449,12073
763,12449,12073
764,12449,12073
765,12449,12073
766,12449,12073
767,12449,12073
768,12449,12072
769,12449,12072
770,12449,12072
771,12449,12072
772,12449,12072
773,12449,12072
774,12449,12072
775,12449,12072
776,12449,12071
777,12449,12071
778,12449,12071
779,12449,12071
780,12449,12071
781,12449,12071
782,12449,12071
783,12449,12071
784,12449,12070
785,12449,12070
786,12449,12070
787,12449,12070
788,12449,12070
789,12449,12070
790,12449,12070
791,12449,12070
792,12449,12075
793,12449,12081
794,12449,12087
795,12449,12093
796,12449,12099
797,12449,12105
798,12449,12111
799,12449,12116
800,12449,12122
801,12449,12128
802,12449,12134
803,12449,12140
804,12449,12146
805,12449,12152
806,12449,12157
807,12449,12163
808,12449,12169
809,12449,12175
810,12449,12181
811,12449,12187
812,12449,12193
813,12449,12198
814,12449,12204
815,12449,12210
816,12449,12216
817,12449,12222
818,12449,12228
819,12449,12234
