Time,Inke,
530,3769,16847
531,3778,16917
532,3786,16987
533,3802,17057
534,3806,17127
535,3818,17197
536,3835,17207
537,3854,17218
538,3879,17229
539,3889,17240
540,3904,17250
541,3925,17261
542,3943,17272
543,3954,17283
544,3970,17294
545,3990,17304
546,4010,17315
547,4019,17326
548,4033,17337
549,4050,17348
550,4059,17358
551,4065,17369
552,4076,17380
553,4091,17391
554,4110,17401
555,4122,17412
556,4134,17423
557,4141,17434
558,4153,17445
559,4169,17455
560,4173,17466
561,4185,17477
562,4200,17488
563,4212,17499
564,4223,17509
565,4239,17520
566,4248,17531
567,4257,17542
568,4276,17552
569,4291,17563
570,4309,17574
571,4325,17585
572,4335,17596
573,4351,17606
574,4369,17617
575,4380,17628
576,4396,17639
577,4410,17650
578,4417,17660
579,4429,17671
580,4443,17682
581,4465,17693
582,4484,17703
583,4496,17714
584,4517,17725
585,4535,17736
586,4553,17747
587,4564,17757
588,4581,17768
589,4592,17779
590,4601,17790
591,4617,17801
592,4631,17811
593,4634,17822
594,4647,17833
595,4662,17844
596,4677,17854
597,4698,17865
598,4711,17876
599,4718,17887
600,4735,17898
601,4752,17908
602,4765,17919
603,4785,17930
604,4801,17941
605,4813,17952
606,4827,17962
607,4843,17973
608,4852,17984
609,4865,17995
610,4881,18005
611,4896,18016
612,4913,18027
613,4927,18038
614,4935,18049
615,4952,18059
616,4966,18070
617,4967,18081
618,4981,18092
619,4982,18103
620,4990,18113
621,5004,18124
622,5020,18135
623,5027,18146
624,5047,18156
625,5056,18167
626,5068,18178
627,5082,18189
628,5090,18200
629,5110,18210
630,5121,18221
631,5140,18232
632,5152,18243
633,5163,18254
634,5174,18264
635,5179,18275
636,5189,18286
637,5203,18297
638,5221,18308
639,5232,18320
640,5241,18333
641,5258,18345
642,5265,18358
643,5272,18371
644,5287,18383
645,5297,18396
646,5310,18408
647,5329,18421
648,5350,18434
649,5364,18446
650,5381,18459
651,5400,18471
652,5413,18484
653,5431,18497
654,5440,18509
655,5453,18522
656,5460,18534
657,5463,18547
658,5471,18560
659,5480,18572
660,5496,18585
661,5515,18597
662,5523,18610
663,5529,18623
664,5541,18635
665,5553,18648
666,5567,18661
667,5580,18673
668,5597,18686
669,5616,18698
670,5631,18711
671,5641,18724
672,5651,18736
673,5665,18749
674,5685,18761
675,5700,18774
676,5717,18787
677,5734,18799
678,5745,18812
679,5758,18824
680,5774,18837
681,5793,18850
682,5807,18862
683,5825,18875
684,5839,18887
685,5858,18900
686,5867,18913
687,5878,18925
688,5892,18938
689,5908,18951
690,5919,18963
691,5936,18976
692,5953,18988
693,5965,19001
694,5986,19014
695,5998,19026
696,6011,19039
697,6030,19051
698,6036,19064
699,6045,19077
700,6070,19089
701,6082,19102
702,6094,19114
703,6105,19127
704,6125,19140
705,6144,19152
706,6160,19165
707,6167,19177
708,6185,19190
709,6200,19203
710,6206,19215
711,6215,19228
712,6227,19240
713,6233,19253
714,6245,19266
715,6256,19278
716,6267,19291
717,6278,19304
718,6293,19316
719,6314,19329
720,6329,19341
721,6351,19354
722,6367,19367
723,6385,19379
724,6399,19392
725,6399,19404
726,6427,19417
727,6442,19430
728,6454,19442
729,6468,19455
730,6485,19467
731,6505,19480
732,6522,19493
733,6528,19505
734,6547,19518
735,6559,19530
736,6572,19543
737,6582,19556
738,6586,19568
739,6601,19581
740,6614,19594
741,6633,19606
742,6651,19619
743,6659,19631
744,6667,19644
745,6676,19657
746,6691,19669
747,6705,19682
748,6720,19694
749,6737,19707
750,6749,19720
751,6760,19732
752,6767,19745
753,6786,19757
754,6808,19770
755,6816,19783
756,6839,19795
757,6847,19808
758,6866,19820
759,6890,19833
760,6906,19846
761,6923,19858
762,6945,19871
763,6968,19883
764,6984,19896
765,6999,19909
766,7018,19921
767,7035,19934
768,7037,19947
769,7054,19959
770,7073,19972
771,7086,19984
772,7094,19997
773,7109,20010
774,7121,20022
775,7135,20035
776,7149,20047
777,7166,20060
778,7184,20073
779,7194,20085
780,7202,20098
781,7210,20110
782,7234,20123
783,7243,20136
784,7259,20148
785,7263,20161
786,7262,20173
787,7283,20186
788,7296,20199
789,7304,20211
790,7318,20224
791,7338,20237
792,7346,20241
793,7363,20245
794,7376,20250
795,7379,20254
796,7394,20259
797,7407,20263
798,7420,20267
799,7426,20272
800,7446,20276
801,7463,20281
802,7473,20285
803,7482,20289
804,7493,20294
805,7503,20298
806,7524,20303
807,7534,20307
808,7553,20312
809,7560,20316
810,7577,20320
811,7587,20325
812,7601,20329
813,7610,20334
814,7624,20338
815,7638,20342
816,7643,20347
817,7656,20351
818,7667,20356
819,7679,20360
