Time,Dosseye,
272,42575,22317
273,42705,22333
274,42853,22348
275,42998,22364
276,43146,22379
277,43291,22395
278,43416,22410
279,43549,22426
280,43662,22442
281,43776,22473
282,43890,22504
283,43993,22535
284,44094,22567
285,44226,22598
286,44353,22629
287,44447,22661
288,44530,22662
289,44621,22663
290,44726,22664
291,44823,22665
292,44915,22666
293,45027,22667
294,45103,22668
295,45188,22669
296,45291,22670
297,45384,22671
298,45475,22672
299,45575,22673
300,45697,22674
301,45777,22676
302,45841,22677
303,45895,22678
304,45990,22679
305,46087,22680
306,46175,22681
307,46268,22682
308,46347,22683
309,46406,22684
310,46461,22685
311,46530,22686
312,46601,22687
313,46670,22688
314,46742,22689
315,46817,22691
316,46861,22694
317,46970,22698
318,47099,22702
319,47255,22705
320,47447,22709
321,47727,22713
322,47998,22716
323,48326,22720
324,48655,22724
325,48919,22727
326,49223,22731
327,49492,22735
328,49737,22738
329,49997,22742
330,50237,22746
331,50466,22750
332,50673,22757
333,50874,22764
334,51065,22772
335,51264,22779
336,51462,22787
337,51660,22794
338,51869,22801
339,52021,22809
340,52201,22816
341,52379,22824
342,52525,22831
343,52689,22839
344,52848,22846
345,53004,22853
346,53117,22861
347,53254,22868
348,53396,22876
349,53541,22883
350,53687,22891
351,53825,22892
352,53983,22893
353,54145,22895
354,54260,22896
355,54395,22897
356,54511,22899
357,54638,22900
358,54759,22902
359,54882,22903
360,54960,22904
361,55059,22906
362,55161,22907
363,55258,22908
364,55376,22910
365,55450,22911
366,55526,22913
367,55605,22914
368,55685,22915
369,55784,22917
370,55873,22918
371,55975,22920
372,56064,22920
373,56159,22921
374,56253,22922
375,56318,22922
376,56414,22923
377,56467,22924
378,56542,22925
379,56610,22847
380,56697,22769
381,56772,22691
382,56844,22613
383,56908,22535
384,56982,22457
385,57035,22379
386,57090,22301
387,57169,22223
388,57228,22145
389,57290,22067
390,57342,21989
391,57391,21911
392,57442,21833
393,57497,21755
394,57572,21677
395,57638,21599
396,57681,21521
397,57738,21520
398,57807,21519
399,57851,21518
400,57890,21518
401,57948,21517
402,57986,21516
403,58028,21516
404,58063,21515
405,58104,21514
406,58153,21514
407,58195,21513
408,58251,21512
409,58311,21511
410,58353,21511
411,58376,21510
412,58421,21509
413,58467,21509
414,58503,21508
415,58540,21507
416,58574,21507
417,58619,21506
418,58643,21505
419,58663,21504
420,58682,21504
421,58726,21503
422,58761,21502
423,58788,21502
424,58817,21501
425,58855,21500
426,58899,21500
427,58969,21499
428,58987,21498
429,59006,21498
430,59046,21497
431,59067,21496
432,59119,21495
433,59176,21495
434,59218,21494
435,59234,21493
436,59261,21493
437,59290,21492
438,59297,21491
439,59308,21491
440,59334,21490
441,59356,21489
442,59362,21488
443,59422,21488
444,59459,21487
445,59477,21486
446,59500,21486
447,59509,21485
448,59537,21484
449,59549,21484
450,59600,21483
451,59641,21482
452,59678,21481
453,59704,21481
454,59724,21480
455,59759,21479
456,59818,21479
457,59846,21478
458,59872,21477
459,59887,21477
460,59900,21476
461,59947,21475
462,59973,21475
463,60003,21474
464,60024,21473
465,60056,21472
466,60077,21472
467,60108,21471
468,60132,21470
469,60147,21470
470,60160,21469
471,60186,21468
472,60219,21468
473,60245,21467
474,60256,21466
475,60265,21465
476,60275,21465
477,60302,21464
478,60318,21463
479,60316,21463
480,60341,21462
481,60365,21461
482,60391,21461
483,60413,21460
484,60430,21459
485,60448,21459
486,60472,21461
487,60531,21463
488,60649,21466
489,60823,21468
490,61031,21471
491,61323,21473
492,61659,21476
493,62039,21478
494,62515,21481
495,63020,21483
496,63519,21486
497,64081,21488
498,64654,21491
499,65224,21493
500,65752,21496
501,66270,21498
502,66771,21501
503,67228,21503
504,67716,21506
505,68199,21508
506,68657,21511
507,69089,21513
508,69484,21515
509,69884,21518
510,70238,21520
511,70577,21523
512,70961,21525
513,71305,21528
514,71684,21530
515,72005,21533
516,72299,21535
517,72570,21538
518,72890,21540
519,73184,21543
520,73481,21545
521,73769,21548
522,74010,21550
523,74262,21553
524,74511,21555
525,74713,21558
526,74933,21560
527,75127,21563
528,75318,21565
529,75528,21567
530,75710,21570
531,75900,21572
532,76095,21575
533,76263,21577
534,76451,21580
535,76592,21582
536,76742,21585
537,76914,21587
538,77051,21590
539,77224,21592
540,77397,21595
541,77547,21597
542,77696,21600
543,77835,21602
544,77955,21605
545,78084,21607
546,78226,21610
547,78334,21612
548,78451,21615
549,78555,21614
550,78664,21614
551,78782,21614
552,78938,21614
553,79053,21614
554,79186,21613
555,79313,21613
556,79431,21613
557,79532,21613
558,79592,21613
559,79706,21613
560,79822,21612
561,79959,21612
562,80071,21612
563,80183,21612
564,80316,21612
565,80432,21611
566,80550,21611
567,80659,21611
568,80757,21611
569,80854,21611
570,80966,21611
571,81072,21610
572,81171,21610
573,81244,21610
574,81316,21610
575,81394,21610
576,81477,21610
577,81538,21610
578,81605,21610
579,81697,21610
580,81781,21610
581,81862,21610
582,81928,21610
583,81987,21611
584,82051,21611
585,82127,21611
586,82209,21611
587,82307,21611
588,82400,21611
589,82497,21612
590,82567,21612
591,82631,21612
592,82693,21612
593,82746,21612
594,82837,21612
595,82909,21613
596,82997,21613
597,83076,21613
598,83101,21613
599,83126,21613
600,83198,21613
601,83245,21614
602,83284,21614
603,83345,21614
604,83403,21614
605,83448,21614
606,83496,21614
607,83521,21615
608,83570,21597
609,83616,21579
610,83698,21562
611,83762,21544
612,83826,21527
613,83897,21509
614,83922,21492
615,83979,21474
616,84027,21457
617,84077,21439
618,84113,21421
619,84171,21404
620,84228,21386
621,84263,21369
622,84286,21351
623,84346,21334
624,84397,21316
625,84447,21299
626,84507,21281
627,84560,21264
628,84634,21246
629,84726,21228
630,84800,21211
631,84927,21193
632,85016,21176
633,85110,21158
634,85218,21141
635,85305,21123
636,85414,21106
637,85522,21088
638,85601,21071
639,85698,20771
640,85778,20471
641,85835,20171
642,85936,19871
643,86023,19571
644,86068,19271
645,86153,18971
646,86193,18671
647,86228,18371
648,86324,18071
649,86362,17771
650,86440,17471
651,86469,17171
652,86548,16871
653,86586,16572
654,86622,16272
655,86681,15972
656,86733,15672
657,86786,15372
658,86837,15072
659,86869,14772
660,86908,14472
661,86965,14172
662,87011,13872
663,87053,13572
664,87081,13272
665,87136,12972
666,87146,12672
667,87167,12372
668,87231,12073
669,87271,12073
670,87288,12073
671,87324,12073
672,87346,12074
673,87359,12074
674,87405,12074
675,87429,12075
676,87447,12075
677,87477,12075
678,87502,12075
679,87548,12076
680,87581,12076
681,87627,12076
682,87649,12077
683,87666,12077
684,87672,12077
685,87676,12077
686,87696,12078
687,87725,12078
688,87742,12078
689,87778,12079
690,87811,12079
691,87839,12079
692,87890,12079
693,87921,12080
694,87957,12080
695,87995,12080
696,88006,12081
697,88042,12081
698,88099,12081
699,88124,12082
700,88140,12082
701,88185,12082
702,88235,12082
703,88262,12082
704,88292,12082
705,88323,12082
706,88361,12082
707,88358,12082
708,88388,12082
709,88430,12082
710,88467,12082
711,88481,12082
712,88482,12082
713,88498,12082
714,88531,12082
715,88560,12082
716,88584,12082
717,88620,12082
718,88629,12082
719,88621,12082
720,88649,12082
721,88646,12082
722,88676,12082
723,88665,12082
724,88685,12082
725,88686,12082
726,88705,12082
727,88708,12082
728,88711,12082
729,88725,12082
730,88742,12081
731,88768,12081
732,88792,12081
733,88799,12080
734,88797,12080
735,88809,12080
736,88820,12080
737,88827,12079
738,88844,12079
739,88865,12079
740,88879,12079
741,88900,12078
742,88917,12078
743,88915,12078
744,88938,12078
745,88940,12077
746,88936,12077
747,88983,12077
748,88994,12077
749,88992,12076
750,89003,12076
751,89013,12076
752,89035,12076
753,89024,12075
754,89050,12075
755,89069,12075
756,89081,12075
757,89084,12074
758,89082,12074
759,89079,12074
760,89109,12074
761,89119,12073
762,89118,12073
763,89136,12073
764,89132,12073
765,89129,12073
766,89134,12073
767,89137,12073
768,89145,12072
769,89152,12072
770,89152,12072
771,89147,12072
772,89129,12072
773,89142,12072
774,89140,12072
775,89162,12072
776,89172,12071
777,89166,12071
778,89171,12071
779,89184,12071
780,89191,12071
781,89201,12071
782,89183,12071
783,89193,12071
784,89165,12070
785,89181,12070
786,89216,12070
787,89231,12070
788,89252,12070
789,89284,12070
790,89312,12070
791,89369,12070
792,89434,12075
793,89500,12081
794,89561,12087
795,89591,12093
796,89659,12099
797,89701,12105
798,89720,12111
799,89737,12116
800,89770,12122
801,89795,12128
802,89809,12134
803,89869,12140
804,89886,12146
805,89901,12152
806,89909,12157
807,89922,12163
808,89941,12169
809,89969,12175
810,89972,12181
811,89985,12187
812,90013,12193
813,90006,12198
814,90017,12204
815,90050,12210
816,90058,12216
817,90084,12222
818,90111,12228
819,90177,12234
