Time,Adamaoua,
169,11479,6609
170,11495,6673
171,11520,6737
172,11548,6801
173,11567,6865
174,11596,6929
175,11612,6993
176,11623,7057
177,11643,7121
178,11655,7185
179,11673,7249
180,11690,7313
181,11701,7377
182,11712,7441
183,11724,7505
184,11747,7569
185,11759,7633
186,11769,7697
187,11782,7761
188,11806,7824
189,11839,7888
190,11863,7952
191,11881,8016
192,11888,8080
193,11908,8144
194,11938,8208
195,11956,8272
196,11982,8336
197,12003,8400
198,12019,8464
199,12030,8528
200,12043,8592
201,12054,8656
202,12082,8720
203,12105,8784
204,12124,8848
205,12144,8912
206,12164,8976
207,12204,9040
208,12239,9104
209,12296,9178
210,12352,9252
211,12409,9326
212,12476,9400
213,12525,9474
214,12573,9548
215,12618,9622
216,12660,9696
217,12700,9770
218,12740,9844
219,12777,9918
220,12816,9992
221,12849,10066
222,12891,10140
223,12912,10215
224,12944,10289
225,12972,10363
226,13016,10437
227,13041,10511
228,13064,10585
229,13100,10659
230,13116,10733
231,13142,10807
232,13162,10881
233,13181,10955
234,13202,11029
235,13257,11103
236,13345,11177
237,13492,11251
238,13661,11326
239,13869,11411
240,14100,11497
241,14330,11583
242,14578,11669
243,14807,11755
244,15005,11841
245,15183,11927
246,15345,11927
247,15513,11927
248,15671,11927
249,15836,11927
250,15983,11927
251,16095,11927
252,16222,11927
253,16327,12144
254,16436,12361
255,16548,12578
256,16644,12796
257,16748,13013
258,16830,13230
259,16924,13448
260,17002,13483
261,17090,13518
262,17162,13553
263,17235,13588
264,17324,13623
265,17394,13658
266,17438,13694
267,17493,13741
268,17549,13789
269,17603,13837
270,17652,13885
271,17700,13933
272,17747,13981
273,17794,14029
274,17844,14051
275,17898,14073
276,17965,14095
277,18015,14117
278,18072,14140
279,18118,14162
280,18152,14184
281,18192,14206
282,18236,14229
283,18284,14251
284,18320,14273
285,18358,14295
286,18391,14318
287,18437,14340
288,18474,14362
289,18516,14384
290,18553,14407
291,18582,14429
292,18622,14451
293,18650,14473
294,18695,14496
295,18730,14496
296,18755,14496
297,18769,14496
298,18800,14496
299,18815,14496
300,18847,14496
301,18878,14496
302,18909,14544
303,18933,14592
304,18966,14640
305,18986,14689
306,19022,14737
307,19057,14785
308,19078,14834
309,19109,14831
310,19125,14829
311,19155,14827
312,19172,14825
313,19193,14822
314,19212,14820
315,19228,14818
316,19254,14816
317,19294,14814
318,19327,14811
319,19376,14809
320,19486,14807
321,19586,14805
322,19689,14803
323,19831,14871
324,19961,14939
325,20088,15007
326,20202,15076
327,20303,15144
328,20412,15212
329,20521,15280
330,20609,15349
331,20674,15417
332,20780,15485
333,20859,15553
334,20934,15622
335,21007,15669
336,21080,15716
337,21176,15763
338,21244,15810
339,21324,15857
340,21376,15904
341,21432,15952
342,21511,15952
343,21565,15952
344,21628,15953
345,21672,15953
346,21731,15953
347,21767,15954
348,21824,15954
349,21875,15954
350,21912,15955
351,21965,15955
352,21999,15955
353,22056,15955
354,22103,15955
355,22157,15955
356,22202,15955
357,22245,15955
358,22277,15955
359,22321,15955
360,22350,15955
361,22368,15955
362,22402,15955
363,22432,15955
364,22462,15955
365,22490,15955
366,22527,15955
367,22555,15955
368,22601,15955
369,22636,15955
370,22659,15955
371,22690,15955
372,22716,15955
373,22754,15955
374,22794,15955
375,22842,15955
376,22879,15955
377,22909,15955
378,22935,15955
379,22953,15955
380,22986,15955
381,23015,15955
382,23042,15955
383,23069,15955
384,23092,15955
385,23108,15955
386,23127,15955
387,23148,15955
388,23158,15955
389,23171,15955
390,23192,15955
391,23210,15955
392,23230,15955
393,23251,15955
394,23288,15955
395,23305,15955
396,23324,15955
397,23335,15955
398,23352,15955
399,23366,15955
400,23392,15955
401,23418,15955
402,23433,15955
403,23456,15955
404,23470,15955
405,23490,15955
406,23515,15955
407,23538,15903
408,23532,15851
409,23551,15800
410,23562,15748
411,23576,15696
412,23595,15645
413,23605,15593
414,23622,15541
415,23635,15490
416,23643,15438
417,23644,15386
418,23657,15335
419,23662,15283
420,23672,15231
421,23691,15180
422,23695,15128
423,23707,15076
424,23719,15025
425,23732,14973
426,23761,14922
427,23777,15575
428,23789,16228
429,23786,16881
430,23809,17534
431,23820,18187
432,23824,18841
433,23830,19494
434,23845,20147
435,23854,20800
436,23861,21453
437,23874,22106
438,23875,22760
439,23888,23413
440,23892,24066
441,23896,24719
442,23907,25372
443,23908,26025
444,23917,26679
445,23935,27332
446,23955,27985
447,23962,28638
448,23961,29291
449,23965,29944
450,23969,30598
451,23967,31251
452,23975,31904
453,23994,32557
454,24011,33210
455,24023,33863
456,24033,34517
457,24055,35170
458,24074,35823
459,24080,36476
460,24102,37129
461,24107,37782
462,24119,38436
463,24126,39089
464,24136,39742
465,24145,40395
466,24155,41048
467,24162,41701
468,24171,42355
469,24172,43008
470,24181,43661
471,24184,44314
472,24195,44967
473,24210,45620
474,24202,46274
475,24208,46927
476,24235,47580
477,24255,48233
478,24267,48886
479,24272,49539
480,24284,50193
481,24299,50846
482,24295,51499
483,24298,52152
484,24298,52805
485,24308,53458
486,24316,54112
487,24334,54765
488,24372,55418
489,24433,56071
490,24513,56724
491,24595,57377
492,24722,58031
493,24886,58684
494,25061,59337
495,25281,59990
496,25534,60643
497,25799,61297
498,26052,61296
499,26290,61295
500,26520,61295
501,26755,61294
502,26986,61293
503,27205,61293
504,27401,61292
505,27602,61292
506,27787,61291
507,27977,61290
508,28120,61290
509,28299,61289
510,28444,61288
511,28582,61288
512,28735,61287
513,28862,61287
514,28980,61286
515,29108,61285
516,29228,61285
517,29354,61284
518,29495,61284
519,29601,61292
520,29689,61300
521,29815,61308
522,29899,61316
523,29978,61325
524,30062,61333
525,30148,61341
526,30257,61349
527,30350,61357
528,30425,61366
529,30486,61374
530,30552,61382
531,30598,61390
532,30650,61399
533,30708,61407
534,30756,61415
535,30833,61423
536,30894,61431
537,30942,61440
538,30995,61448
539,31028,61456
540,31105,61464
541,31154,61472
542,31189,61481
543,31230,61489
544,31254,61497
545,31313,61505
546,31352,61514
547,31380,61658
548,31404,61803
549,31463,61948
550,31498,62092
551,31523,62237
552,31550,62382
553,31585,62526
554,31639,62671
555,31664,62816
556,31694,62960
557,31728,63105
558,31745,63250
559,31769,63275
560,31810,63300
561,31839,63325
562,31887,63351
563,31930,63376
564,31971,63401
565,32006,63427
566,32047,63452
567,32083,63477
568,32118,63503
569,32142,63528
570,32168,63553
571,32217,63579
572,32242,63604
573,32265,63629
574,32295,63655
575,32329,63652
576,32364,63650
577,32401,63647
578,32425,63645
579,32476,63642
580,32508,63640
581,32535,63638
582,32557,63634
583,32594,63630
584,32623,63627
585,32655,63637
586,32672,63647
587,32703,63657
588,32724,63667
589,32751,63677
590,32773,63687
591,32794,63697
592,32819,63707
593,32829,63717
594,32842,63727
595,32883,63737
596,32901,63747
597,32911,63757
598,32918,63767
599,32938,63767
600,32961,63767
601,32967,63767
602,32985,63767
603,33005,63767
604,33021,63767
605,33052,63767
606,33075,63767
607,33098,63767
608,33113,63749
609,33112,63732
610,33114,63731
611,33116,63730
612,33135,63729
613,33146,63729
614,33166,63728
615,33174,63727
616,33191,63726
617,33204,63726
618,33229,63725
619,33230,63724
620,33240,63723
621,33254,63723
622,33272,63722
623,33283,63721
624,33287,63721
625,33299,63718
626,33306,63716
627,33322,63714
628,33359,63711
629,33379,63709
630,33417,63707
631,33452,63704
632,33493,63702
633,33521,63700
634,33559,63697
635,33605,63695
636,33660,63693
637,33696,63691
638,33744,63698
639,33780,63705
640,33831,63712
641,33859,63720
642,33892,63727
643,33926,63734
644,33947,63741
645,33970,63749
646,34001,63753
647,34038,63757
648,34079,63762
649,34110,63766
650,34119,63771
651,34142,63775
652,34153,63780
653,34175,63784
654,34192,63789
655,34213,63793
656,34227,63798
657,34256,63802
658,34269,63807
659,34271,63808
660,34297,63810
661,34310,63811
662,34319,63813
663,34321,63814
664,34325,63816
665,34331,63817
666,34345,63819
667,34338,63820
668,34350,63822
669,34354,63823
670,34373,63825
671,34359,63826
672,34368,63828
673,34372,63829
674,34382,63831
675,34398,63832
676,34411,63834
677,34432,63835
678,34430,63837
679,34435,63838
680,34434,63840
681,34436,63841
682,34445,63843
683,34459,63845
684,34473,63845
685,34486,63845
686,34473,63845
687,34483,63845
688,34489,63845
689,34498,63845
690,34521,63928
691,34537,64012
692,34569,64096
693,34580,64180
694,34594,64176
695,34595,64173
696,34600,64170
697,34606,64167
698,34614,64163
699,34635,64160
700,34648,64157
701,34649,64154
702,34655,64151
703,34638,64151
704,34646,64151
705,34641,64151
706,34647,64151
707,34663,64151
708,34677,64151
709,34673,64151
710,34679,64151
711,34697,64151
712,34688,64151
713,34707,64151
714,34716,64151
715,34714,64151
716,34727,64151
717,34721,64151
718,34725,64151
719,34749,64151
720,34750,64151
721,34747,64151
722,34754,64151
723,34757,64151
724,34754,64151
725,34752,64157
726,34760,64164
727,34764,64170
728,34774,64177
729,34782,64356
730,34786,64535
731,34786,64714
732,34802,64894
733,34796,64994
734,34806,65094
735,34814,65194
736,34812,65294
737,34821,65394
738,34845,65494
739,34848,65594
740,34842,65694
741,34841,65794
742,34857,65894
743,34864,65994
744,34871,66094
745,34875,66194
746,34868,66294
747,34852,66394
748,34860,66494
749,34858,66594
750,34881,66694
751,34893,66794
752,34914,66894
753,34920,66994
754,34927,67094
755,34905,67194
756,34916,67294
757,34922,67394
758,34921,67494
759,34930,67594
760,34931,67695
761,34935,67694
762,34944,67694
763,34934,67693
764,34928,67693
765,34920,67693
766,34941,67692
767,34941,67692
768,34934,67691
769,34924,67691
770,34929,67691
771,34922,67690
772,34926,67690
773,34931,67690
774,34922,67689
775,34924,67689
776,34917,67688
777,34915,67688
778,34913,67688
779,34900,67687
780,34896,67687
781,34891,67687
782,34895,68005
783,34904,68324
784,34913,68642
785,34914,68961
786,34921,69279
787,34934,69598
788,34941,69916
789,34944,70235
790,34963,70553
791,35000,70872
792,35020,70886
793,35048,70901
794,35076,70916
795,35089,70930
796,35115,70945
797,35133,70960
798,35155,70975
799,35169,70989
800,35174,71004
801,35198,71019
802,35197,71034
803,35198,71048
804,35205,71063
805,35207,71078
806,35216,71093
807,35224,71107
808,35238,71122
809,35233,71137
810,35238,71152
811,35255,71166
812,35250,71181
813,35267,71196
814,35267,71211
815,35261,71225
816,35275,71240
817,35271,71255
818,35290,71270
819,35304,71284
