Time,Betou,
448,57846,8693
449,57861,8693
450,57900,8693
451,57927,8693
452,57955,8692
453,57977,8692
454,58014,8692
455,58043,8692
456,58050,8691
457,58074,8691
458,58114,8691
459,58133,8691
460,58145,8690
461,58174,8690
462,58218,8690
463,58234,8690
464,58257,8689
465,58254,8689
466,58266,8689
467,58277,8688
468,58301,8688
469,58318,8688
470,58343,8688
471,58356,8687
472,58373,8687
473,58384,8687
474,58413,8687
475,58417,8686
476,58428,8686
477,58439,8686
478,58449,8686
479,58444,8685
480,58453,8685
481,58472,8685
482,58482,8685
483,58496,8684
484,58492,8684
485,58528,8684
486,58546,8684
487,58560,8683
488,58672,8683
489,58796,8683
490,59022,8683
491,59249,8682
492,59553,8682
493,59927,8682
494,60270,8682
495,60700,8681
496,61112,8681
497,61572,8681
498,62103,8681
499,62581,8680
500,63080,8680
501,63630,8680
502,64088,8680
503,64559,8679
504,64967,8679
505,65391,8679
506,65756,8679
507,66105,8678
508,66448,8678
509,66777,8678
510,67106,8678
511,67396,8677
512,67754,8677
513,68036,8677
514,68340,8677
515,68638,8676
516,68914,8676
517,69191,8676
518,69486,8676
519,69730,8675
520,69977,8675
521,70177,8675
522,70411,8675
523,70628,8674
524,70822,8674
525,71027,8674
526,71201,8674
527,71387,8673
528,71572,8673
529,71750,8673
530,71928,8673
531,72087,8672
532,72265,8672
533,72429,8672
534,72567,8672
535,72701,8671
536,72843,8671
537,72997,8671
538,73137,8671
539,73257,8670
540,73415,8670
541,73536,8670
542,73644,8670
543,73759,8669
544,73870,8669
545,73995,8669
546,74080,8669
547,74226,8668
548,74329,8668
549,74448,8668
550,74561,8668
551,74666,8667
552,74775,8667
553,74843,8667
554,74953,8667
555,75042,8666
556,75151,8666
557,75224,8666
558,75300,8666
559,75395,8665
560,75510,8665
561,75621,8665
562,75711,8665
563,75824,8664
564,75928,8664
565,76023,8664
566,76136,8663
567,76211,8663
568,76312,8663
569,76406,8663
570,76520,8662
571,76614,8662
572,76717,8662
573,76810,8662
574,76885,8661
575,76960,8661
576,77062,8661
577,77167,8661
578,77233,8660
579,77287,8660
580,77369,8660
581,77451,8660
582,77540,8659
583,77582,8659
584,77641,8659
585,77691,8659
586,77764,8658
587,77858,8658
588,77910,8658
589,78002,8658
590,78076,8657
591,78165,8657
592,78231,8657
593,78303,8657
594,78363,8656
595,78420,8656
596,78467,8656
597,78511,8656
598,78552,8655
599,78588,8655
600,78646,8655
601,78702,8655
602,78757,8654
603,78802,8654
604,78851,8654
605,78890,8654
606,78966,8653
607,79018,8653
608,79053,8653
609,79109,8653
610,79148,8652
611,79188,8652
612,79228,8652
613,79281,8652
614,79326,8651
615,79383,8651
616,79424,8651
617,79454,8651
618,79495,8650
619,79520,8650
620,79573,8650
621,79588,8650
622,79623,8649
623,79656,8649
624,79685,8649
625,79698,8649
626,79744,8648
627,79824,8648
628,79886,8648
629,79975,8648
630,80064,8647
631,80171,8647
632,80278,8647
633,80383,8647
634,80516,8646
635,80622,8646
636,80709,8646
637,80802,8646
638,80904,8645
639,80974,8645
640,81074,8645
641,81159,8645
642,81246,8644
643,81282,8644
644,81365,8644
645,81421,8644
646,81510,8643
647,81550,8643
648,81610,8643
649,81650,8643
650,81686,8642
651,81728,8642
652,81764,8642
653,81815,8642
654,81858,8641
655,81917,8641
656,81942,8641
657,81979,8641
658,82021,8640
659,82061,8640
660,82115,8640
661,82139,8640
662,82162,8639
663,82190,8639
664,82206,8639
665,82225,8638
666,82260,8638
667,82271,8638
668,82298,8638
669,82302,8637
670,82325,8637
671,82365,8637
672,82400,8637
673,82419,8636
674,82459,8636
675,82486,8636
676,82498,8636
677,82528,8635
678,82573,8635
679,82615,8635
680,82623,8635
681,82638,8634
682,82657,8634
683,82676,8634
684,82676,8634
685,82694,8633
686,82690,8633
687,82708,8633
688,82738,8633
689,82753,8632
690,82782,8632
691,82799,8632
692,82821,8632
693,82858,8631
694,82895,8631
695,82911,8631
696,82937,8631
697,82988,8630
698,83023,8630
699,83045,8630
700,83059,8630
701,83053,8629
702,83062,8629
703,83102,8629
704,83123,8629
705,83170,8628
706,83190,8628
707,83227,8628
708,83231,8628
709,83260,8627
710,83296,8627
711,83299,8627
712,83299,8627
713,83303,8626
714,83314,8626
715,83327,8626
716,83331,8626
717,83359,8625
718,83372,8625
719,83386,8625
720,83390,8625
721,83389,8624
722,83381,8624
723,83384,8624
724,83366,8624
725,83343,8623
726,83356,8623
727,83370,8623
728,83371,8623
729,83384,8622
730,83377,8622
731,83422,8622
732,83446,8622
733,83455,8621
734,83463,8621
735,83462,8621
736,83469,8621
737,83491,8620
738,83501,8620
739,83524,8620
740,83528,8620
741,83533,8619
742,83548,8619
743,83556,8619
744,83552,8619
745,83542,8618
746,83544,8618
747,83536,8618
748,83539,8618
749,83535,8617
750,83545,8617
751,83543,8617
752,83539,8617
753,83511,8616
754,83538,8616
755,83534,8616
756,83559,8616
757,83542,8615
758,83534,8615
759,83535,8615
760,83519,8615
761,83514,8630
762,83520,8645
763,83528,8661
764,83518,8676
765,83505,8692
766,83511,8707
767,83516,8723
768,83515,8738
769,83517,8754
770,83511,8769
771,83508,8785
772,83488,8800
773,83486,8816
774,83491,8831
775,83506,8847
776,83495,8862
777,83501,8878
778,83511,8893
779,83529,8909
780,83513,8924
781,83487,8940
782,83493,8955
783,83480,8971
784,83486,8986
785,83513,9002
786,83545,9017
787,83549,9033
788,83589,9048
789,83632,9064
790,83674,9079
791,83719,9094
792,83779,9110
793,83843,9125
794,83900,9141
795,83947,9156
796,83956,9172
797,83998,9187
798,84022,9203
799,84053,9218
800,84089,9234
801,84121,9249
802,84150,9265
803,84173,9280
804,84171,9296
805,84217,9311
806,84238,9327
807,84231,9342
808,84258,9358
809,84255,9373
810,84251,9389
811,84258,9404
812,84286,9420
813,84306,9435
814,84309,9451
815,84322,9466
816,84317,9482
817,84342,9497
818,84358,9513
819,84367,9528
