Day,Mbera sim,Mbera data,Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
41,18266,26753,0.31723545023,916,2533,0.638373470193,344,1000,0.656,1396,1491,0.0637156270959,1291,1043,0.237775647172,13,391,0.966751918159,3907,193,19.2435233161,0.45488564243803137,33404,33404,33404,25.64404761904762,26133,0,0.31292659561729136
42,18297,27063,0.323910874626,985,2602,0.621445042275,376,1003,0.625124626122,1445,1592,0.0923366834171,1322,1061,0.245994344958,13,431,0.969837587007,4187,213,18.6572769953,0.46547916973354925,33965,33965,33965,26.229761904761904,26625,0,0.3292506992492271
43,18333,27373,0.330252438534,1061,2671,0.602770497941,408,1005,0.594029850746,1506,1694,0.110979929162,1362,1079,0.262279888786,15,470,0.968085106383,4458,232,18.2155172414,0.47500289653574324,34524,34524,34524,26.84642857142857,27143,0,0.345846367744178
44,18374,27683,0.336271357873,1141,2740,0.583576642336,438,1008,0.565476190476,1572,1795,0.124233983287,1394,1097,0.270738377393,17,509,0.966601178782,4721,251,17.8087649402,0.4834250206652795,35083,35083,35083,27.458333333333332,27657,0,0.3612575891457401
45,18403,27993,0.342585646412,1218,2810,0.566548042705,466,1011,0.539070227498,1620,1897,0.146020031629,1427,1115,0.279820627803,18,548,0.967153284672,4964,271,17.3173431734,0.49204657034647215,35645,35645,35645,28.028985507246375,28116,0,0.3740777107588722
46,18459,28303,0.347807652899,1289,2879,0.552275095519,503,1013,0.503455083909,1663,1998,0.167667667668,1454,1133,0.283318623124,22,587,0.962521294719,5191,290,16.9,0.49901941828025304,36203,36203,36203,31.173374613003094,28581,0,0.38449852222191533
47,18503,28546,0.351818118125,1359,2948,0.539009497965,533,1016,0.475393700787,1714,2099,0.183420676513,1475,1151,0.281494352737,26,627,0.958532695375,5434,310,16.5290322581,0.5054636618797177,36697,36697,36697,32.4,29044,0,0.38638035806741694
48,18541,28788,0.355946922329,1426,3017,0.527345044746,568,1019,0.44259077527,1771,2201,0.195365742844,1496,1169,0.279726261762,29,666,0.956456456456,5689,329,16.2917933131,0.5120600177471833,37189,37189,37189,33.36991869918699,29520,0,0.3919169646938611
49,18589,29031,0.359684475216,1486,3086,0.51847051199,611,1022,0.402152641879,1819,2302,0.209817549957,1527,1187,0.286436394271,32,705,0.954609929078,5926,348,16.0287356322,0.5182187309254,37681,37681,37681,34.326530612244895,29990,0,0.3965128314004405
50,18619,29274,0.363974858236,1553,3156,0.507921419518,635,1024,0.3798828125,1867,2403,0.223054515189,1552,1205,0.287966804979,36,744,0.951612903226,6170,368,15.7663043478,0.5249646356158642,38174,38174,38174,35.22857142857143,30432,0,0.4014774453816734
51,18687,29517,0.366907206017,1619,3225,0.497984496124,667,1027,0.350535540409,1910,2505,0.2375249501,1578,1223,0.290269828291,42,783,0.946360153257,6415,387,15.5762273902,0.5305557710709391,38667,38667,38667,36.21862348178138,30918,0,0.4054878837251403
52,18741,29760,0.370262096774,1676,3294,0.491196114147,697,1030,0.323300970874,1953,2606,0.250575594781,1604,1241,0.292506043513,42,823,0.948967193196,6644,406,15.3645320197,0.5363891726251276,39160,39160,39160,37.108163265306125,31357,0,0.409244126659857
53,18795,30002,0.373541763882,1754,3363,0.47844186738,736,1032,0.286821705426,2002,2707,0.260435906908,1638,1259,0.301032565528,43,862,0.950116009281,6879,426,15.1478873239,0.5414239237345843,39651,39651,39651,38.10794297352342,31847,0,0.4132304355501753
54,18850,30245,0.376756488676,1813,3432,0.471736596737,764,1035,0.261835748792,2044,2809,0.272338910644,1666,1278,0.303599374022,45,901,0.950055493896,7102,445,14.9595505618,0.5467928758251339,40145,40145,40145,38.9979633401222,32284,0,0.4165898617511521
55,18902,30488,0.380018367882,1876,3502,0.464306110794,784,1038,0.244701348748,2094,2910,0.280412371134,1692,1296,0.305555555556,50,940,0.946808510638,7347,465,14.8,0.5524250104579345,40639,40639,40639,39.82289803220036,32745,0,0.421713132705037
56,18946,30731,0.383488985064,1949,3571,0.454214505741,820,1041,0.212295869356,2140,3011,0.289272666888,1722,1314,0.310502283105,57,979,0.9417773238,7583,484,14.6673553719,0.5574384284359729,41131,41131,41131,40.66607142857143,33217,0,0.426150592010892
57,19003,30974,0.386485439401,2009,3640,0.448076923077,856,1043,0.17929050815,2182,3113,0.299068422743,1748,1332,0.312312312312,64,1019,0.937193326791,7840,503,14.5864811133,0.5628483567172785,41624,41624,41624,41.53119429590018,33702,0,0.4309052469729002
58,19050,31216,0.389736032804,2089,3709,0.436775411162,885,1046,0.153919694073,2235,3214,0.304604853765,1772,1350,0.312592592593,70,1058,0.933837429112,8056,523,14.4034416826,0.5667442302212936,42116,42116,42116,42.34347048300537,34157,0,0.43449045493399185
59,19109,31459,0.392574461998,2151,3778,0.430651138168,916,1049,0.126787416587,2290,3315,0.309200603318,1810,1368,0.323099415205,73,1097,0.933454876937,8250,542,14.221402214,0.5705266616597822,42608,42608,42608,43.13416815742397,34599,0,0.43778163725122043
60,19160,31702,0.395621727336,2227,3848,0.421257796258,938,1051,0.107516650809,2331,3417,0.317822651449,1834,1386,0.323232323232,80,1136,0.929577464789,8490,561,14.1336898396,0.5752766757151806,43101,43101,43101,43.95885509838998,35060,0,0.4416138836685924
61,19214,31945,0.39852872124,2310,3917,0.410262956344,970,1054,0.0796963946869,2374,3518,0.32518476407,1854,1404,0.320512820513,84,1175,0.928510638298,8699,581,13.9724612737,0.5786346744964903,43594,43594,43594,44.7508896797153,35505,0,0.44405193375235125
62,19264,32188,0.401516092954,2373,3986,0.404666332163,1008,1057,0.046357615894,2423,3562,0.319764177428,1878,1414,0.328147100424,86,1215,0.929218106996,8895,600,13.825,0.5818227250011357,44022,44022,44022,45.505376344086024,35927,0,0.4471854981600109
63,19317,32430,0.404347826087,2428,4055,0.401233045623,1040,1059,0.0179414542021,2469,3605,0.315117891817,1906,1423,0.339423752635,92,1254,0.92663476874,9115,620,13.7016129032,0.5857669981550646,44446,44446,44446,46.33198380566802,36367,0,0.4521441749538766
