Time,Lusenda,
340,105266,16245
341,105356,16271
342,105439,16298
343,105538,16325
344,105620,16352
345,105695,16379
346,105759,16405
347,105831,16432
348,105956,16459
349,106038,16486
350,106127,16513
351,106214,16539
352,106310,16566
353,106406,16593
354,106502,16620
355,106589,16647
356,106676,16673
357,106772,16700
358,106873,16727
359,106978,16754
360,107066,16781
361,107164,16807
362,107251,16834
363,107362,16861
364,107450,16888
365,107542,16915
366,107652,16924
367,107722,16934
368,107811,16943
369,107890,16953
370,107977,16962
371,108067,16972
372,108103,16981
373,108180,16991
374,108276,17000
375,108353,17010
376,108426,17019
377,108483,17029
378,108522,17038
379,108613,17048
380,108696,17057
381,108769,17067
382,108841,17076
383,108917,17086
384,109008,17095
385,109078,17105
386,109130,17114
387,109160,17124
388,109231,17133
389,109301,17143
390,109398,17152
391,109495,17162
392,109555,17171
393,109629,17181
394,109693,17190
395,109717,17200
