Time,Nyarugusu,
263,25203,83160
264,25247,83158
265,25283,83129
266,25343,83100
267,25396,83071
268,25429,83042
269,25496,83013
270,25562,82697
271,25615,82381
272,25664,82065
273,25702,81940
274,25756,81815
275,25799,81690
276,25849,81565
277,25883,81440
278,25929,81315
279,25979,81356
280,26028,81397
281,26076,80994
282,26120,80591
283,26176,80188
284,26217,79785
285,26261,79382
286,26303,78979
287,26355,78577
288,26405,78174
289,26430,77771
290,26465,77368
291,26522,76965
292,26546,76562
293,26578,76159
294,26623,75757
295,26683,75729
296,26736,75750
297,26791,75755
298,26843,75786
299,26893,75817
300,26941,75853
301,26997,75890
302,27038,75856
303,27078,75822
304,27129,75788
305,27176,75754
306,27217,75776
307,27283,75896
308,27330,76017
309,27373,76078
310,27430,76140
311,27461,76202
312,27499,76153
313,27544,76104
314,27597,76055
315,27625,76006
316,27666,76040
317,27724,76075
318,27774,76110
319,27825,76145
320,27846,76180
321,27894,76132
322,27936,76085
323,27973,76037
324,28020,75990
325,28062,75943
326,28097,75868
327,28142,75794
328,28180,75719
329,28222,75645
330,28245,75571
331,28303,75496
332,28342,75422
333,28381,75347
334,28425,75273
335,28465,75199
336,28513,75193
337,28548,75187
338,28581,75181
339,28622,75175
340,28654,75169
341,28682,75163
342,28731,75098
343,28771,75034
344,28813,74969
345,28848,74905
346,28882,74841
347,28926,74394
348,28951,73947
349,28992,73500
350,29033,73053
351,29053,72937
352,29087,72822
353,29137,72706
354,29176,72591
355,29211,72475
356,29241,72360
357,29280,72244
358,29352,72129
359,29385,72013
360,29420,71898
361,29463,71644
362,29493,71391
363,29542,71138
364,29562,70885
365,29603,70687
366,29632,70489
367,29670,70291
368,29694,70093
369,29736,69796
370,29778,69500
371,29810,69203
372,29838,68907
373,29879,68610
374,29921,68314
375,29953,68050
376,29977,67787
377,30018,67524
378,30039,67261
379,30070,66998
380,30092,66735
381,30132,66582
382,30153,66429
383,30192,66276
384,30206,66123
385,30244,65971
386,30270,65859
387,30311,65748
388,30337,65637
389,30361,65526
390,30395,65415
391,30436,65304
392,30485,65319
393,30507,65334
394,30533,65349
395,30562,65353
