Time,Mahama,
156,8217,43593
157,8291,43786
158,8371,43879
159,8448,43973
160,8530,44067
161,8623,44161
162,8687,44255
163,8769,44349
164,8838,44443
165,8912,44484
166,8980,44523
167,9056,44626
168,9144,44627
169,9224,44629
170,9295,44631
171,9386,44633
172,9453,44715
173,9523,44765
174,9590,44781
175,9671,44839
176,9741,44857
177,9802,44876
178,9886,44895
179,9972,45153
180,10045,45154
181,10109,45155
182,10167,45157
183,10246,45158
184,10326,45159
185,10389,45161
186,10459,45254
187,10517,45348
188,10578,45393
189,10660,45451
190,10743,45510
191,10796,45569
192,10866,45591
193,10948,45613
194,11023,45635
195,11099,45658
196,11177,45682
197,11245,45707
198,11334,45732
199,11415,45803
200,11498,45875
201,11560,45947
202,11635,46019
203,11713,46036
204,11788,46054
205,11842,46072
206,11931,46090
207,12007,46108
208,12087,46161
209,12182,46194
210,12237,46227
211,12330,46260
212,12394,46293
213,12461,46327
214,12513,46433
215,12569,46631
216,12651,46399
217,12738,46167
218,12798,45935
219,12867,45703
220,12929,45471
221,12997,45240
222,13054,45098
223,13120,45120
224,13197,45143
225,13265,45166
226,13328,45189
227,13391,45212
228,13451,46075
229,13543,45989
230,13609,45903
231,13666,45818
232,13729,45732
233,13803,45647
234,13865,45561
235,13940,45476
236,13999,45476
237,14075,45476
238,14136,45476
239,14215,45476
240,14288,45476
241,14368,45476
242,14445,45565
243,14513,45655
244,14571,45517
245,14644,45379
246,14715,45241
247,14792,45103
248,14865,44965
249,14938,45018
250,15020,45071
251,15092,45090
252,15175,45109
253,15228,45128
254,15289,45148
255,15367,45236
256,15429,45298
257,15477,45360
258,15557,45422
259,15609,45431
260,15684,45441
261,15748,45450
262,15813,45460
263,15891,45545
264,15947,45631
265,15989,45657
266,16062,45683
267,16121,45709
268,16171,45735
269,16220,45762
270,16281,45817
271,16343,45579
272,16402,45644
273,16464,45759
274,16532,45874
275,16577,45989
276,16629,46104
277,16686,46219
278,16742,46334
279,16800,46449
280,16856,46564
281,16912,46679
282,16965,46794
283,17023,46909
284,17086,47024
285,17130,47139
286,17173,47167
287,17203,47196
288,17264,47224
289,17335,47253
290,17418,47282
291,17461,47299
292,17515,47364
293,17576,47430
294,17624,47442
295,17676,47455
296,17724,47468
297,17782,47481
298,17839,47494
299,17888,47507
300,17939,47520
301,17984,47533
302,18037,47546
303,18110,47559
304,18149,47572
305,18188,47585
306,18241,47598
307,18308,47611
308,18347,47624
309,18394,47637
310,18465,47650
311,18517,47721
312,18552,47792
313,18592,47863
314,18638,47934
315,18674,47956
316,18726,47978
317,18783,48000
318,18836,48022
319,18900,48091
320,18948,48160
321,19017,48188
322,19044,48217
323,19109,48246
324,19164,48275
325,19221,48318
326,19264,48362
327,19304,48406
328,19342,48409
329,19385,48413
330,19434,48417
331,19487,48421
332,19558,48292
333,19603,48164
334,19651,48036
335,19698,47908
336,19728,47927
337,19767,47946
338,19799,47965
339,19841,47985
340,19880,48004
341,19931,48023
342,19974,48043
343,20019,48071
344,20056,48100
345,20090,48129
346,20116,48158
347,20150,48187
348,20181,48216
349,20224,48245
350,20296,48258
351,20351,48272
352,20388,48286
353,20438,48300
354,20457,48350
355,20485,48400
356,20526,48450
357,20567,48444
358,20599,48438
359,20619,48433
360,20665,48427
361,20699,48422
362,20734,48416
363,20771,48411
364,20802,48424
365,20836,48437
366,20886,48450
367,20940,48463
368,20984,48476
369,21029,48489
370,21069,48503
371,21094,48518
372,21125,48532
373,21153,48547
374,21173,48562
375,21213,48622
376,21244,48682
377,21282,48742
378,21313,48767
379,21352,48793
380,21392,48819
381,21425,48845
382,21474,48871
383,21508,48897
384,21543,48923
385,21575,48915
386,21600,48908
387,21641,48901
388,21676,48894
389,21705,49037
390,21753,49181
391,21793,49325
392,21828,49327
393,21852,49330
394,21887,49333
395,21907,49336
